63621,1,logInPageFunction,7/24/2019 11:28:12 AM,0,Passed,7/24/2019 11:27:06 AM,basic.step,Function Library,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,25732,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,24957,Passed,"",basic.step,
"Iteration Total (sec)",,37436,Passed,"",basic.iteration,
"Think: 0 (sec).",,71,Passed,"",basic.comment,
"[1] E-Business Suite Home Page Redirect (/riyoramgbm02.maaden.com:8050/)",,21959,Passed,"",basic.stepGroup,
"Navigate http://riyoramgbm02.maaden.com:8050/",2,100,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",4,1133,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10046,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",7,446,Passed,"",ft.action,
"Think: 0.679 (sec).",,727,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") SwainSw",8,64,Passed,"",ft.action,
"Think: 0.201 (sec).",,242,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",9,229,Passed,"",ft.action,
"Think: 2.595 (sec).",,2618,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",10,461,Passed,"",ft.action,
"Think: 1.656 (sec).",,1695,Passed,"",basic.comment,
"Click element(""@text='LoginCancel'"")",11,205,Passed,"",ft.action,
"Think: 2.705 (sec).",,2743,Passed,"",basic.comment,
"Click button(""@id='SubmitButton'"")",12,133,Passed,"",ft.action,
"Think: 0 (sec).",,40,Passed,"",basic.comment,
"[2] Oracle Applications Home Page (/OA.jsp)",,14922,Passed,"",basic.stepGroup,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=g5uDmrmAcCXrgYJdXZYNxsaCXTJN5dro0TwShlg00tFhMX9xRNb7gU29YaX.d26t7HRuSmGdP8nydXe7D0mtrMjUTbyEQFqa58nQZZ0...",13,5295,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 9.205 (sec).",,9238,Passed,"",basic.comment,
"closeBrowser",16,9,Passed,"",ft.action,
"Finish Total (sec)",,123,Passed,"",basic.finish,
