8226,1,driverScript,6/06/2017 20:34:09 PM,Passed,6/06/2017 20:34:01 PM,basic.step,Driverscripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,574,Passed,"",basic.init,
"Iteration Total (sec)",,6951,Passed,"",basic.iteration,
"Call Function: driverLibrary.scm_fn_loadEnvFile",,5417,Passed,"",basic.stepGroup,
"Info",,2,Passed,"Comments: inside scm_fn_loadEnvFile() function",basic.comment,
"Info",,0,Passed,"Comments: Environment File Location entered through Console : C:\OracleATS\OFT\Framework\Environment_Files\Environment_File.xml",basic.comment,
"Info",,1,Passed,"Comments: Environment File Location inside scm_fn_loadEnvFile function before returning: C:\OracleATS\OFT\Framework\Environment_Files\Environment_File.xml",basic.comment,
"Info",,0,Passed,"Comments: Printing repository name default",basic.comment,
"Call Function: driverLibrary.scm_fn_xmlReader",,62,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: reUsableScriptLocation Name BEFORE concinate Framework/Reusablescripts/",basic.comment,
"Info",,0,Passed,"Comments: Script Name is driverScript",basic.comment,
"Info",,0,Passed,"Comments: reUsableScriptLocation Name is after concinate Framework/Reusablescripts/driverScript",basic.comment,
"Run Child Script: driverScript",,723,Passed,"",basic.stepGroup,
"driverScript",,213,Passed,"",basic.script,
"Initialize: driverScript",,116,Passed,"",basic.stepGroup,
"Run: driverScript - Iteration 1",,213,Passed,"",basic.stepGroup,
"Info",,0,Passed,"Comments: Inside reusbale script ----excution is successful ",basic.comment,
"Finish: driverScript",,97,Passed,"",basic.stepGroup,
"Finish Total (sec)",,70,Passed,"",basic.finish,
