32417,1,createOrder,6/14/2018 22:30:16 PM,Failed,6/14/2018 22:29:43 PM,basic.step,Driverscripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,640,Passed,"",basic.init,
"Iteration Total (sec)",,31115,Failed,"",basic.iteration,
"Call Function: DriverLibrary.scm_fn_loadEnvFile",,30089,Passed,"",basic.stepGroup,
"Info",,150,Passed,"Comments: inside scm_fn_loadEnvFile() function",basic.comment,
"Info",,1,Passed,"Comments: Environment File Location entered through Console : I:\OATS\Framework\Framework\Environment_Files\Environment_File.xml",basic.comment,
"Info",,1,Passed,"Comments: Environment File Location inside scm_fn_loadEnvFile function before returning: I:\OATS\Framework\Framework\Environment_Files\Environment_File.xml",basic.comment,
"Info",,1,Passed,"Comments: Printing repository name test",basic.comment,
"Call Function: DriverLibrary.scm_fn_xmlReader",,38,Passed,"",basic.stepGroup,
"Info",,1,Passed,"Comments: reUsableScriptLocation Name BEFORE concinate Framework/Reusablescripts/",basic.comment,
"Info",,0,Passed,"Comments: Script Name is createOrder",basic.comment,
"Info",,0,Passed,"Comments: reUsableScriptLocation Name is after concinate Framework/Reusablescripts/createOrder",basic.comment,
"Failure",,1,Failed,"Exception occurred in driver file:Could not find script ""createOrder"" in folder ""Framework/Reusablescripts"" in repository ""test""",basic.comment,
"Finish Total (sec)",,81,Passed,"",basic.finish,
