44047,1,PO_Search_FindPODetailsUsing_Invoice_Number_00102,5/04/2020 23:39:03 PM,0,Failed,5/04/2020 23:38:18 PM,basic.step,HCM Termination,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,11025,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,10278,Passed,"",basic.step,
"Iteration Total (sec)",,32600,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,102,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Y8-OigjlkULmwUAH4s.5jDGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",,13656,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click textBox(""@id='unamebean'"")",,712,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,53,Passed,"",ft.action,
"PressTab textBox(""@id='unamebean'"")",,364,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,467,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,104,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=604062208&oapc=2&oas=mTtDzRKdVrpeDqvl_nsPEg..",,10080,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",,1003,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=604062208&oapc=2&oas=mTtDzRKdVrpeDqvl_nsPEg..#",,764,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='menuLayout_div'"")",,464,Passed,"",ft.action,
"Think: 1.914 (sec).",,1952,Passed,"",basic.comment,
"Failed to playback",,1025,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,93,Passed,"",basic.finish,
