303852,1,Inv_Availbility_Quantity_For_Miscellaneous_Issue_00141,5/16/2020 18:15:10 PM,0,Passed,5/16/2020 18:09:59 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,13022,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,12272,Passed,"",basic.step,
"Iteration Total (sec)",,290380,Passed,"",basic.iteration,
"GetNextDatabankRecord: Inv_Availbility_Quantity_For_Miscellaneous_Issue_00141",,4,Passed,"Data Used:[http://riysoaclone.maaden.com:8010/, PEETHAMBARANS, welcome123, STD%JUB, MS0031, M.SJ.B125]",basic.resource,
"Navigate http://riysoaclone.maaden.com:8010/",,113,Passed,"Data Used:http://riysoaclone.maaden.com:8010/",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/",,1787,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,9655,Passed,"Data Used:PEETHAMBARANS",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,169,Passed,"Data Used:welcome123",ft.action,
"Click button(""@id='SubmitButton'"")",,201,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,6889,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='CORP INVENTORY'"")",,228,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,942,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='On-hand, Availability'"")",,2733,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,875,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='On-hand Quantity'"")",,241,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIM...",,38062,Passed,"",web.pageComplete,
"Forms Screen shot",120,4934,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MRK|MRK: CORP ALU-SBU Inventory Organization",,32081,Passed,"",ft.action,
"Forms Screen shot",123,598,Passed,"",ft.screenshot,
"SetFocus textField(""@name='MATERIAL_QF_QUERY_NAME_0'"")",,104,Passed,"",ft.action,
"SetText textField(""@name='MATERIAL_QF_SUBINVENTORY_CODE_0'"") STD%JUB",,794,Passed,"Data Used:STD%JUB",ft.action,
"InvokeSoftKey textField(""@name='MATERIAL_QF_SUBINVENTORY_CODE_0'"")",,1459,Passed,"",ft.action,
"SetText textField(""@name='MATERIAL_QF_ITEM_0'"") MS0031",,648,Passed,"Data Used:MS0031",ft.action,
"Click button(""@name='MATERIAL_QF_FIND_0'"")",,4508,Passed,"",ft.action,
"Forms Screen shot",130,475,Passed,"",ft.screenshot,
"FocusRow spreadTable(""@name='RESULTS_GRID_0'"") 1",,5322,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,247,Passed,"",ft.action,
"SetFocus tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"")",,533,Passed,"",ft.action,
"SelectRows spreadTable(""@name='RESULTS_GRID_0'"") 1, 1",,533,Passed,"",ft.action,
"SelectNode tree(""@name='APPTREE_NAV_TREE_NAVIGATOR_0'"") Organizations",,3210,Passed,"",ft.action,
