194678,1,Inv_Create_Miscellaneous_Issue_Transactions_00142,5/16/2020 21:03:25 PM,0,Passed,5/16/2020 21:00:09 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6696,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,6146,Passed,"",basic.step,
"Iteration Total (sec)",,182872,Passed,"",basic.iteration,
"GetNextDatabankRecord: Inv_Create_Miscellaneous_Issue_Transactions_00142",,2,Passed,"Data Used:[http://riysoaclone.maaden.com:8010/, PEETHAMBARANS, welcome123, Miscellaneous Issue, 01.01.100.30.0000.1265.00000, MS0031, STD-M-JUB, M.SJ.B125, K20S1897A-006, .01, Automation]",basic.resource,
"Navigate http://riysoaclone.maaden.com:8010/",127,85,Passed,"Data Used:http://riysoaclone.maaden.com:8010/",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/",129,2074,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,6274,Passed,"Data Used:PEETHAMBARANS",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,35,Passed,"Data Used:welcome123",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,180,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,4584,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='CORP INVENTORY'"")",,125,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,643,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Transactions'"")",,2260,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,642,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Miscellaneous Transaction'"")",,132,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIM...",,36499,Passed,"",web.pageComplete,
"Activate window(""@name='NAVIGATOR'"")",,18908,Passed,"",ft.action,
"Forms Screen shot",158,456,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MRK|MRK: CORP ALU-SBU Inventory Organization",,13634,Passed,"",ft.action,
"Forms Screen shot",161,262,Passed,"",ft.screenshot,
"Think: 4.824 (sec).",,4846,Passed,"",basic.comment,
"SetText textField(""@name='MISC_TRX_TRANSACTION_TYPE_0'"") Miscellaneous Issue",,883,Passed,"Data Used:Miscellaneous Issue",ft.action,
"InvokeSoftKey textField(""@name='MISC_TRX_TRANSACTION_TYPE_0'"")",,539,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MISC_TRX_TRANSACTION_SOURCE_0'"")",,879,Passed,"",ft.action,
"SetText textField(""@name='MISC_TRX_DIST_ACCT_0'"") 01.01.100.30.0000.1265.00000",,22,Passed,"Data Used:01.01.100.30.0000.1265.00000",ft.action,
"Click button(""@name='MISC_TRX_TRX_LINE_BUTTON_0'"")",,3653,Passed,"",ft.action,
"Forms Screen shot",168,265,Passed,"",ft.screenshot,
"Think: 2.24 (sec).",,2256,Passed,"",basic.comment,
"SetText textField(""@name='MTL_TRX_LINE_ITEM_0'"") MS0031",,44,Passed,"Data Used:MS0031",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_ITEM_0'"")",,1982,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_SUBINVENTORY_CODE_0'"") STD-M-JUB",,37,Passed,"Data Used:STD-M-JUB",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_SUBINVENTORY_CODE_0'"")",,1253,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_LOCATOR_0'"") M.SJ.B125",,34,Passed,"Data Used:M.SJ.B125",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_LOCATOR_0'"")",,1201,Passed,"",ft.action,
