170642,1,Inv_Create_Miscellaneous_Receipt_Transactions_00139,5/16/2020 21:18:24 PM,0,Passed,5/16/2020 21:15:31 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6549,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,6162,Passed,"",basic.step,
"Iteration Total (sec)",,163834,Passed,"",basic.iteration,
"GetNextDatabankRecord: Inv_Create_Miscellaneous_Receipt_Transactions_00139",,2,Passed,"Data Used:[http://riysoaclone.maaden.com:8010/, PEETHAMBARANS, welcome123, Miscellaneous Receipt, 01.01.100.30.0000.1265.00000, 7M0560R63, BIL-M-JUB, M.BJ.A101, Automation, 30, Automation]",basic.resource,
"Navigate http://riysoaclone.maaden.com:8010/",,58,Passed,"Data Used:http://riysoaclone.maaden.com:8010/",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/",,1266,Passed,"",web.pageComplete,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,5245,Passed,"Data Used:PEETHAMBARANS",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,88,Passed,"Data Used:welcome123",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,95,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,4733,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='CORP INVENTORY'"")",,139,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,639,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Transactions'"")",,2205,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,619,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Miscellaneous Transaction'"")",,123,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIM...",,34848,Passed,"",web.pageComplete,
"Activate window(""@name='NAVIGATOR'"")",,19028,Passed,"",ft.action,
"Forms Screen shot",33,419,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MRK|MRK: CORP ALU-SBU Inventory Organization",,13278,Passed,"",ft.action,
"Forms Screen shot",36,290,Passed,"",ft.screenshot,
"SetText textField(""@name='MISC_TRX_TRANSACTION_TYPE_0'"") Miscellaneous Receipt",,705,Passed,"Data Used:Miscellaneous Receipt",ft.action,
"InvokeSoftKey textField(""@name='MISC_TRX_TRANSACTION_TYPE_0'"")",,362,Passed,"",ft.action,
"InvokeSoftKey textField(""@name='MISC_TRX_TRANSACTION_SOURCE_0'"")",,745,Passed,"",ft.action,
"SetText textField(""@name='MISC_TRX_DIST_ACCT_0'"") 01.01.100.30.0000.1265.00000",,19,Passed,"Data Used:01.01.100.30.0000.1265.00000",ft.action,
"Click button(""@name='MISC_TRX_TRX_LINE_BUTTON_0'"")",,3542,Passed,"",ft.action,
"Forms Screen shot",43,234,Passed,"",ft.screenshot,
"SetText textField(""@name='MTL_TRX_LINE_ITEM_0'"") 7M0560R63",,45,Passed,"Data Used:7M0560R63",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_ITEM_0'"")",,1405,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_SUBINVENTORY_CODE_0'"") BIL-M-JUB",,42,Passed,"Data Used:BIL-M-JUB",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_SUBINVENTORY_CODE_0'"")",,766,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_LOCATOR_0'"") M.BJ.A101",,35,Passed,"Data Used:M.BJ.A101",ft.action,
"InvokeSoftKey textField(""@name='MTL_TRX_LINE_LOCATOR_0'"")",,1076,Passed,"",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_LOT_NUMBER_0'"") Automation",,38,Passed,"Data Used:Automation",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_TRANSACTION_QUANTITY_0'"") 30",,1981,Passed,"Data Used:30",ft.action,
"SetText textField(""@name='MTL_TRX_LINE_TRANSACTION_REFERENCE_0'"") Automation",,832,Passed,"Data Used:Automation",ft.action,
"ClickToolbarButton window(""@name='MTL_TRX_LINE'"") Save",,1443,Passed,"",ft.action,
"Forms Screen shot",55,278,Passed,"",ft.screenshot,
"ClickButton choiceBox(""forms:choiceBox"") OK",,3142,Passed,"",ft.action,
"Forms Screen shot",59,251,Passed,"",ft.screenshot,
"SelectMenuItem window(""@name='MTL_TRX_LINE'"") View|Requests",,3031,Passed,"",ft.action,
"Forms Screen shot",62,237,Passed,"",ft.screenshot,
"Click button(""@name='JOBS_QF_FIND_0'"")",,2556,Passed,"",ft.action,
"Activate window(""@name='JOBS'"")",,552,Passed,"",ft.action,
"Forms Screen shot",66,295,Passed,"",ft.screenshot,
"SetFocus textField(""@name='JOBS_REQUEST_ID_0'"")",,494,Passed,"",ft.action,
"SetFocus textField(""@name='JOBS_PHASE_0'"")",,1182,Passed,"",ft.action,
"Click button(""@name='JOBS_REFRESH_0'"")",,2472,Passed,"",ft.action,
"SetFocus textField(""@name='JOBS_REQUEST_ID_0'"")",,542,Passed,"",ft.action,
"SetFocus textField(""@name='JOBS_PHASE_0'"")",,1200,Passed,"",ft.action,
"Close window(""@name='JOBS'"")",,1106,Passed,"",ft.action,
"Activate window(""@name='MTL_TRX_LINE'"")",,35,Passed,"",ft.action,
"Forms Screen shot",75,242,Passed,"",ft.screenshot,
