68519,1,PO_Approver_User_ABUHETLAHD,8/25/2019 20:22:53 PM,0,Passed,8/25/2019 20:21:42 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9982,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9411,Passed,"",basic.step,
"Iteration Total (sec)",,58097,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",2,91,Passed,"",ft.action,
"Think: 0.443 (sec).",,498,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",4,10,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",5,1364,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10035,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",8,328,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") ABUHETLAHD",9,56,Passed,"",ft.action,
"PressTab textBox(""@id='unamebean'"")",10,122,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",11,550,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",12,143,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",13,6439,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.699 (sec).",,2723,Passed,"",basic.comment,
"Click link(""@text='Purchase Requisition 711802669 for Peethambaran, Shaji (4,250.00 SAR)'"")",16,188,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=FND_WFNTF_DETAILS&NtfId=7362475&addBreadCrumb=Y&retainAM=Y&_ti=1364666283&oapc=5&oas=CxbwQn5XRg7OmVvsoXbjnA..",17,11080,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.149 (sec).",,1171,Passed,"",basic.comment,
"Click button(""@value='Approve'"")",20,110,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/NewHomePG&homePage=Y&_ti=1364666283&retainAM=Y&addBreadCrumb=N&OAMC=G&WFEBizWorklist=Y&oapc=7&oas=CqRkcJj0rfLpWfINy8tIXw..",21,10958,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 5.945 (sec).",,5972,Passed,"",basic.comment,
"Click link(""@text='Logout'"")",24,115,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=buVoCN5pvZdIemFiC2fpd4dvbu.y0jzfkLZ17l4u40QosAU5lhw.LL9mkdAdEoWB&oas=FMe6kdhG56-prDTusmDZOA..",25,3789,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"closeBrowser",21,9,Passed,"",ft.action,
"Finish Total (sec)",,130,Passed,"",basic.finish,
