244956,1,PO_BlanketCreationAndApproval_005_01,2/17/2020 14:06:31 PM,0,Failed,2/17/2020 14:02:23 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8114,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.592.18362.0",,7644,Passed,"",basic.step,
"Iteration Total (sec)",,236320,Failed,"",basic.iteration,
"GetNextDatabankRecord: PO_BlanketCreationAndApproval_005",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome1, Blanket Purchase Agreement, GENERAL INDUSTRIES Co. Ltd., AL KHOBAR, 100000, DDP, 25-July-2019, 25-July-2022, 100, SAR, 1000350101, 100, Note, 10, AED]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",34,81,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"Think: 0.329 (sec).",,370,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",35,10,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",36,1136,Passed,"",web.pageComplete,
"Click textBox(""@id='unamebean'"")",39,7395,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",40,49,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",41,152,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",42,57,Passed,"Data Used:welcome1",ft.action,
"Click button(""@id='SubmitButton'"")",43,134,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",44,4542,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",47,171,Passed,"",ft.action,
"Think: 5.01 (sec).",,5051,Passed,"",basic.comment,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",48,776,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='menuLayout_div'"")",51,679,Passed,"",ft.action,
"Think: 3.01 (sec).",,3034,Passed,"",basic.comment,
"Click link(""@text='Purchase Order'"")",52,254,Passed,"",ft.action,
"Think: 5.01 (sec).",,5034,Passed,"",basic.comment,
"Click link(""@text='Purchase Orders'"")",56,249,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",,10895,Passed,"",web.pageComplete,
"Forms Screen shot",61,2519,Passed,"",ft.screenshot,
"SetFocus textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",,25712,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_DOC_TYPE_NAME_0'"") Blanket Purchase Agreement",,662,Passed,"Data Used:Blanket Purchase Agreement",ft.action,
"Think: 0.008 (sec).",,30,Passed,"",basic.comment,
"SetText textField(""@name='PO_HEADERS_VENDOR_NAME_0'"") GENERAL INDUSTRIES Co. Ltd.",,702,Passed,"Data Used:GENERAL INDUSTRIES Co. Ltd.",ft.action,
"Think: 0.008 (sec).",,37,Passed,"",basic.comment,
"SetText textField(""@name='PO_HEADERS_VENDOR_SITE_CODE_0'"") AL KHOBAR",,653,Passed,"Data Used:AL KHOBAR",ft.action,
"Think: 0.008 (sec).",,37,Passed,"",basic.comment,
"SetText textField(""@name='PO_HEADERS_BLANKET_TOTAL_AMT_DSP_0'"") 100000",,903,Passed,"Data Used:100000",ft.action,
"Think: 0.008 (sec).",,28,Passed,"",basic.comment,
"Check checkBox(""@name='PO_HEADERS_GLOBAL_AGREEMENT_FLAG_0'"") true",,899,Passed,"",ft.action,
"Think: 5.008 (sec).",,5035,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_LINES_ITEM_NUMBER_0'"")",,1489,Passed,"",ft.action,
"Think: 0.008 (sec).",,36,Passed,"",basic.comment,
"assertText",360,14,Passed,"",ft.test,
"Forms Screen shot",362,395,Passed,"",ft.screenshot,
"SetText textField(""@name='PO_HEADERS_FREIGHT_TERMS_DSP_0'"") DDP",,74,Passed,"Data Used:DDP",ft.action,
"SetText textField(""@name='PO_HEADERS_START_DATE_0'"") 25-JUL-2019",,741,Passed,"",ft.action,
"SetText textField(""@name='PO_HEADERS_END_DATE_0'"") 21-DEC-2021",368,674,Passed,"",ft.action,
"Think: 0.012 (sec).",,42,Passed,"",basic.comment,
"Close window(""@name='PO_HEADER_DETAIL'"")",369,1039,Passed,"",ft.action,
"Forms Screen shot",371,397,Passed,"",ft.screenshot,
"SetFocus textField(""@name='PO_HEADERS_DESC_FLEX_0'"")",,1214,Passed,"",ft.action,
"Forms Screen shot",496,357,Passed,"",ft.screenshot,
"Think: 0.314 (sec).",,336,Passed,"",basic.comment,
"SetText flexWindow(""forms:flexWindow"") Discount Note, , Note",497,25,Passed,"Data Used:Note",ft.action,
"Think: 2.549 (sec).",,2583,Passed,"",basic.comment,
"SetText flexWindow(""forms:flexWindow"") Discount Amount, , 10",498,390,Passed,"Data Used:10",ft.action,
"Think: 2.549 (sec).",,2579,Passed,"",basic.comment,
"setTextAndClickOk flexWindow(""forms:flexWindow"") Currency, , AED",,1481,Passed,"Data Used:AED",ft.action,
"Forms Screen shot",501,349,Passed,"",ft.screenshot,
"Think: 6.425 (sec).",,6459,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_HEADERS_DOC_TYPE_NAME_0'"")",372,687,Passed,"",ft.action,
"Think: 5.374 (sec).",,5400,Passed,"",basic.comment,
"SetText textField(""@name='PO_LINES_ITEM_NUMBER_0'"") 1000350101",373,720,Passed,"Data Used:1000350101",ft.action,
"Think: 10 (sec).",,10029,Passed,"",basic.comment,
"SetText textField(""@name='PO_LINES_UNIT_PRICE_0'"") 100",374,3400,Passed,"Data Used:100",ft.action,
"Think: 0.012 (sec).",,39,Passed,"",basic.comment,
"ClickToolbarButton window(""@name='PO_HEADERS'"") Save",375,7288,Passed,"",ft.action,
"Think: 1.096 (sec).",,1122,Passed,"",basic.comment,
"assertText",376,14,Passed,"",ft.test,
"SetFocus textField(""@name='PO_HEADERS_SEGMENT1_0'"")",,1319,Passed,"",ft.action,
"Info",,0,Passed,"Comments: pONumber is -> 741904517",basic.comment,
"Forms Screen shot",,332,Passed,"",ft.screenshot,
"Click button(""@name='PO_CONTROL_APPROVE_0'"")",378,4540,Passed,"",ft.action,
"Forms Screen shot",380,401,Passed,"",ft.screenshot,
"Think: 7.748 (sec).",,7772,Passed,"",basic.comment,
"Click button(""@name='PO_APPROVE_WF_OK_BUTTON_0'"")",381,20714,Passed,"",ft.action,
"Forms Screen shot",383,364,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10024,Passed,"",basic.comment,
"SetFocus textField(""@name='PO_HEADERS_OPERATING_UNIT_0'"")",384,70,Passed,"",ft.action,
"Think: 0.012 (sec).",,35,Passed,"",basic.comment,
"Close window(""@name='PO_HEADERS'"")",385,1284,Passed,"",ft.action,
"Forms Screen shot",409,347,Passed,"",ft.screenshot,
"Click link(""@text='Logout'"")",483,512,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=buVoCN5pvZdIemFiC2fpd4dvbu.y0jzfkLZ17l4u40QosAU5lhw.LL9mkdAdEoWB&oas=giEs_qpdpjvOYB2cL0vrBQ..",484,4228,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"closeBrowser",487,15,Passed,"",ft.action,
"Call Function: PO_CreateBlanketReleaseAndApproval_User_LATKOVICG_002.run",,47588,Failed,"",basic.stepGroup,
"Navigate http://riyoramgbm02.maaden.com:8050/",30,27,Passed,"",ft.action,
"Think: 0.361 (sec).",,421,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",31,9,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",32,465,Passed,"",web.pageComplete,
"Click element(""@id='region5login'"")",35,3193,Passed,"",ft.action,
"Think: 1.911 (sec).",,1943,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",36,108,Passed,"",ft.action,
"Think: 0.906 (sec).",,945,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") LATKOVICG",37,60,Passed,"",ft.action,
"Think: 2.32 (sec).",,2349,Passed,"",basic.comment,
"DoubleClick textBox(""@id='pwdbean'"")",39,164,Passed,"",ft.action,
"Think: 1.222 (sec).",,1253,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",40,432,Passed,"",ft.action,
"Think: 1.333 (sec).",,1356,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",41,52,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=hBsK6N.Lq9g8A6yU6yOtQ8aCXTJN5dro0TwShlg00tFhMX9xRNb7gU29YaX.d26t7HRuSmGdP8nydXe7D0mtrMjUTbyEQFqa58nQZZ0...",42,2525,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.644 (sec).",,2670,Passed,"",basic.comment,
"Failed to playback",,28412,Failed,"Failed to playback: No browser launched.",ft.action,
"Launch Browser: InternetExplorer 11.592.18362.0",,0,Passed,"",basic.step,
"Finish Total (sec)",,173,Passed,"",basic.finish,
