308384,1,PO_ChangeBuyerInRequisition_002,10/23/2019 11:53:28 AM,0,Passed,10/23/2019 11:48:16 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,42265,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,41649,Passed,"",basic.step,
"Iteration Total (sec)",,265702,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_ChangeBuyerInRequisition_002",,3,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, 11701229, Hamad Rashid Al Hino]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",53,103,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"Think: 0.259 (sec).",,298,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",55,11,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",56,1433,Passed,"",web.pageComplete,
"Click textBox(""@id='unamebean'"")",59,5735,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,61,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",,252,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",170,539,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",918,216,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",64,10677,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 8.379 (sec).",,8402,Passed,"",basic.comment,
"Click link(""@text='CORP PURCHASING SUPERUSER'"")",,158,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",68,914,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 8.379 (sec).",,8409,Passed,"",basic.comment,
"Click element(""@id='menuLayout_div'"")",,693,Passed,"",ft.action,
"Think: 4.379 (sec).",,4402,Passed,"",basic.comment,
"Click link(""@text='Management'"")",,329,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,893,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Manage Buyer Workload'"")",,210,Passed,"",ft.action,
