141641,1,PO_CreateBlanketReleaseAndApproval_002,8/14/2019 17:37:05 PM,0,Failed,8/14/2019 17:34:43 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8969,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,8468,Passed,"",basic.step,
"Iteration Total (sec)",,132324,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",,74,Passed,"",ft.action,
"Navigate http://riyoramgbm02.maaden.com:8050/",,401,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",,1190,Passed,"",web.pageComplete,
"Click textBox(""@id='unamebean'"")",,6607,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,48,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,420,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,621,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,4582,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",,365,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",,723,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='AutoCreate'"")",,1457,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",,10323,Passed,"",web.pageComplete,
"Forms Screen shot",26,3519,Passed,"",ft.screenshot,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,14403,Passed,"",ft.action,
"Click button(""@name='FIND_REQ_LINES_CLEAR_0'"")",,44,Passed,"",ft.action,
"SetFocus textField(""@name='FIND_REQ_LINES_OPERATING_UNIT_0'"")",,39,Passed,"",ft.action,
"SetText textField(""@name='FIND_REQ_LINES_REQUISITION_NUMBER_0'"") 711802657",,40,Passed,"",ft.action,
"Click button(""@name='FIND_REQ_LINES_FIND_0'"")",,43,Passed,"",ft.action,
"Forms Screen shot",33,364,Passed,"",ft.screenshot,
"exists",,81375,Failed,"Failed to connect to the Oracle Forms applet after 30 seconds. Verify that the applet launching page opens, and that the Forms Startup Timeout setting is high enough for this site.",ft.action,
"Finish Total (sec)",,55,Passed,"",basic.finish,
