70262,1,PO_CreateBlanketReleaseAndApproval_User_LATKOVICG_002,8/14/2019 11:30:46 AM,0,Passed,8/14/2019 11:29:34 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,11688,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,10962,Passed,"",basic.step,
"Iteration Total (sec)",,58088,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",30,115,Passed,"",ft.action,
"Think: 0.361 (sec).",,427,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",31,232,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",32,1586,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10046,Passed,"",basic.comment,
"Click element(""@id='region5login'"")",35,3268,Passed,"",ft.action,
"Think: 1.911 (sec).",,1958,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",36,670,Passed,"",ft.action,
"Think: 0.906 (sec).",,945,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") LATKOVICG",37,96,Passed,"",ft.action,
"Think: 2.32 (sec).",,2374,Passed,"",basic.comment,
"DoubleClick textBox(""@id='pwdbean'"")",39,286,Passed,"",ft.action,
"Think: 1.222 (sec).",,1263,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",40,570,Passed,"",ft.action,
"Think: 1.333 (sec).",,1364,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",41,231,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",42,6443,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.644 (sec).",,2682,Passed,"",basic.comment,
"Click link(""@text='Ma’aden Waad Al Shamal Phosphate Company - Blanket Release 741700202-58, for SAR 660.00 requires your approval. '"")",45,1805,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=FND_WFNTF_DETAILS&NtfId=7362093&addBreadCrumb=Y&retainAM=Y&_ti=354518219&oapc=5&oas=dsxhiJUI5EN8DO3CX6zS8A..",46,7951,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.18 (sec).",,1210,Passed,"",basic.comment,
"Click button(""@value='Approve'"")",50,1028,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/NewHomePG&homePage=Y&_ti=354518219&retainAM=Y&addBreadCrumb=N&OAMC=G&WFEBizWorklist=Y&oapc=7&oas=VnurJxb8Wz8JUJuKWrBlSQ..",51,5922,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.784 (sec).",,2819,Passed,"",basic.comment,
"closeBrowser",54,10,Passed,"",ft.action,
"Finish Total (sec)",,129,Passed,"",basic.finish,
