48774,1,PO_CreateBlanketReleaseAndApproval_User_LATKOVICG_002,8/14/2019 14:13:27 PM,0,Passed,8/14/2019 14:12:37 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8679,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,8043,Passed,"",basic.step,
"Iteration Total (sec)",,39709,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",30,77,Passed,"",ft.action,
"Think: 0.361 (sec).",,408,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",31,14,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",32,1249,Passed,"",web.pageComplete,
"Click element(""@id='region5login'"")",35,5219,Passed,"",ft.action,
"Think: 1.911 (sec).",,1948,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",36,612,Passed,"",ft.action,
"Think: 0.906 (sec).",,962,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") LATKOVICG",37,50,Passed,"",ft.action,
"Think: 2.32 (sec).",,2349,Passed,"",basic.comment,
"DoubleClick textBox(""@id='pwdbean'"")",39,180,Passed,"",ft.action,
"Think: 1.222 (sec).",,1257,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",40,476,Passed,"",ft.action,
"Think: 1.333 (sec).",,1357,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",41,205,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",42,3054,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.644 (sec).",,2667,Passed,"",basic.comment,
"Click link(""@text='Ma’aden Waad Al Shamal Phosphate Company - Blanket Release 741700202-58, for SAR 660.00 requires your approval. '"")",45,1163,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=FND_WFNTF_DETAILS&NtfId=7362082&addBreadCrumb=Y&retainAM=Y&_ti=2134185540&oapc=5&oas=5JcRNj0wz8VvjD1x0nkRLA..",46,3775,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.18 (sec).",,1199,Passed,"",basic.comment,
"Click button(""@value='Approve'"")",50,708,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/NewHomePG&homePage=Y&_ti=2134185540&retainAM=Y&addBreadCrumb=N&OAMC=G&WFEBizWorklist=Y&oapc=7&oas=FF-8M3A1HR3tLP79NaVfGw..",51,5858,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.784 (sec).",,2806,Passed,"",basic.comment,
"closeBrowser",54,8,Passed,"",ft.action,
"Finish Total (sec)",,113,Passed,"",basic.finish,
