38918,1,PO_CreateRequisitionAndApproval_User_ENAZIFH_001,9/05/2019 03:31:36 AM,0,Failed,9/05/2019 03:30:56 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,14323,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,13034,Passed,"",basic.step,
"Iteration Total (sec)",,24243,Failed,"Variable ""obj.PO_CreateRequisitionAndApproval_User_ENAZIFH_001.web_a_طلب_شراء_الشراء_711905903"" not found for string: {{obj.PO_CreateRequisitionAndApproval_User_ENAZIFH_001.web_a_طلب_شراء_الشراء_711905903}}",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",57,109,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=8BuO7n7-yesBHlzTRXPjqTGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",58,8076,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 0.397 (sec).",,438,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",61,394,Passed,"",ft.action,
"Think: 0.49 (sec).",,522,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") ENAZIFH",62,89,Passed,"",ft.action,
"Think: 1.56 (sec).",,1627,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",63,137,Passed,"",ft.action,
"Think: 0.472 (sec).",,512,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",64,590,Passed,"",ft.action,
"Think: 0.31 (sec).",,336,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",65,52,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1163381333&oapc=2&oas=d3oPUfct0y-Fx-cfeqyrLQ..",66,5320,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.362 (sec).",,4387,Passed,"",basic.comment,
"Finish Total (sec)",,44,Passed,"",basic.finish,
