42982,1,PO_CreationRFQ_TwoStage_017,9/08/2019 12:20:59 PM,0,Failed,9/08/2019 12:20:15 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,10181,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9668,Passed,"",basic.step,
"Iteration Total (sec)",,32425,Failed,"Variable ""obj.PO_CreationRFQ_TwoStage_017.web_a_72082_RFQ_New_Demo3_2"" not found for string: {{obj.PO_CreationRFQ_TwoStage_017.web_a_72082_RFQ_New_Demo3_2}}",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",127,239,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",129,1320,Passed,"",web.pageComplete,
"Think: 5.657 (sec).",,5708,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",132,4360,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") SALEHY",133,79,Passed,"",ft.action,
"PressTab textBox(""@id='unamebean'"")",134,197,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",135,528,Passed,"",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",136,73,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",137,5947,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MPC SOURCING BUYER'"")",140,154,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",141,808,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Sourcing'"")",144,129,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",145,750,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.615 (sec).",,1651,Passed,"",basic.comment,
"Click link(""@text='Sourcing Home Page'"")",148,1528,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=17530&resp_id=51916&resp_appl_id=396&security_group_id=0&lang_code=US&params=AKPq2Oz0x9YMvs9U8HrrkJHgsWv7eRyliDOEuZG0SsA&oas=wyuQXvu1grYbLPT8p81fpA..",149,3261,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.006 (sec).",,3031,Passed,"",basic.comment,
"Finish Total (sec)",,58,Passed,"",basic.finish,
