288386,1,PO_CreationRFQ_TwoStage_017,9/08/2019 11:27:05 AM,0,Failed,9/08/2019 11:22:15 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,10318,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9760,Passed,"",basic.step,
"Iteration Total (sec)",,277742,Failed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",460,228,Passed,"",ft.action,
"Think: 8.341 (sec).",,8399,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",462,347,Passed,"",ft.action,
"Think: 0.333 (sec).",,372,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") s",463,56,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=7mL94HZFRVfiiAXNalBepTGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",464,1050,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.058 (sec).",,1119,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") SALEHY",467,47,Passed,"",ft.action,
"Think: 1.424 (sec).",,1463,Passed,"",basic.comment,
"Click button(""@id='SubmitButton'"")",468,145,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1855821056&oapc=2&oas=8_p1Z8gl4tH3v7Zj2ZI7eQ..",469,5134,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 8.704 (sec).",,8732,Passed,"",basic.comment,
"Click link(""@text='MPC SOURCING BUYER'"")",472,128,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1855821056&oapc=2&oas=8_p1Z8gl4tH3v7Zj2ZI7eQ..#",473,868,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 0.927 (sec).",,953,Passed,"",basic.comment,
"Click link(""@text='MPC SOURCING BUYER'"")",476,97,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1855821056&oapc=2&oas=8_p1Z8gl4tH3v7Zj2ZI7eQ..#",477,858,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.94 (sec).",,1961,Passed,"",basic.comment,
"Click link(""@text='MPC SOURCING BUYER'"")",480,90,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1855821056&oapc=2&oas=8_p1Z8gl4tH3v7Zj2ZI7eQ..#",481,807,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.698 (sec).",,1721,Passed,"",basic.comment,
"Click element(""@id='51916:396:79124:0'"")",484,110,Passed,"",ft.action,
"Think: 3.016 (sec).",,3040,Passed,"",basic.comment,
"Click link(""@text='Sourcing Home Page'"")",485,111,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=17530&resp_id=51916&resp_appl_id=396&security_group_id=0&lang_code=US&params=AKPq2Oz0x9YMvs9U8HrrkJHgsWv7eRyliDOEuZG0SsA&oas=S1ikmGinB5pk5HO8NsDrMw..",486,4284,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
