9/05/2019 17:03:09 PM - Launch Browser: IE version 9.11.17763.0
9/05/2019 17:18:33 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/05/2019 17:18:39 PM - Launch Browser: IE version 9.11.17763.0
9/05/2019 17:27:42 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/05/2019 17:33:05 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/05/2019 17:41:22 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/05/2019 17:49:48 PM - Launch Browser: IE version 9.11.17763.0
9/05/2019 17:51:16 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/05/2019 17:57:31 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 19:53:59 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:04:21 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:13:45 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:18:30 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:20:34 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:22:47 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:24:01 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:24:30 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:30:02 PM - Launch Browser: IE version 9.11.17763.0
9/07/2019 20:34:33 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:39:57 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:42:32 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:54:01 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 20:59:29 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 21:06:40 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 21:10:52 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
9/07/2019 21:21:29 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/01/2020 16:27:03 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/01/2020 16:28:11 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/01/2020 16:32:37 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 12:42:16 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:20:37 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:25:53 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:26:32 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:30:31 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:30:46 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:32:11 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:32:23 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:34:22 PM - Launch Browser: IE version 9.11.18362.0
4/02/2020 17:36:38 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:41:46 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 17:42:57 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:03:02 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:03:21 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:30:56 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:37:22 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:37:38 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:39:06 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:50:01 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 18:59:33 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/02/2020 19:06:10 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 12:35:40 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 12:42:48 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 12:43:56 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 12:45:09 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 12:49:52 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 13:16:53 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
4/05/2020 13:28:28 PM - Save Script: Version 13.3.0.1.262 User SUJITSWAIN
