130054,1,PO_ErrorPopUpOnReceiptTransactionBlankValue_00123,4/05/2020 13:19:22 PM,0,Passed,4/05/2020 13:17:08 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,11080,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.719.18362.0",,10403,Passed,"",basic.step,
"Iteration Total (sec)",,118635,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_ErrorPopUpOnReceiptTransactionBlankValue_00123",,5,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, 741903124, 3, 1, Supplier, , ]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",100,116,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=qh3OfHlhckuJOV88Gok7STGM0htsfzFctall8bEj0tLZP2iMyT6oKz2E1-rEgCGpkXe30l7MvH8NWvNLthkE5hZKpTpE8VPGx7oON7y...",102,12366,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click textBox(""@id='unamebean'"")",106,374,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,66,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",,245,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,53,Passed,"Data Used:welcome123",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",110,53,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1937891886&oapc=2&oas=SGYRo1uehgllfPuxmGbdtA..",111,6191,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='MWSPC PURCHASING SUPERUSER'"")",115,174,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1937891886&oapc=2&oas=SGYRo1uehgllfPuxmGbdtA..#",116,777,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Receiving'"")",151,4305,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/fnd/framework/navigate/webui/HomePG&homePage=Y&OAPB=FWK_HOMEPAGE_BRAND&transactionid=1937891886&oapc=2&oas=SGYRo1uehgllfPuxmGbdtA..#",152,761,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Returns'"")",235,175,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/forms/frmservlet?&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&lang=US&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETI...",236,46017,Passed,"",web.pageComplete,
"Think: 0.282 (sec).",,310,Passed,"",basic.comment,
"Activate window(""@name='NAVIGATOR'"")",,17341,Passed,"",ft.action,
"Forms Screen shot",243,591,Passed,"",ft.screenshot,
"Select listOfValues(""forms:listOfValues"") MWP|Waad S Phospate Inventory Organization",,1729,Passed,"",ft.action,
"Forms Screen shot",246,378,Passed,"",ft.screenshot,
"SetText textField(""@name='FIND_PO_NUM_0'"") 741903124",,10910,Passed,"Data Used:741903124",ft.action,
"SetText textField(""@name='FIND_PO_LINE_0'"") 3",248,1138,Passed,"Data Used:3",ft.action,
"Click button(""@name='FIND_FIND_0'"")",249,2335,Passed,"",ft.action,
"Forms Screen shot",251,367,Passed,"",ft.screenshot,
"SetFocus checkBox(""@name='RCV_TRANSACTION_LINE_CHKBOX_0'"")",,58,Passed,"",ft.action,
"SelectItem tab(""@name='ALTER_REGION_CONTROL'"") Order Information",,2611,Passed,"",ft.action,
"SetText textField(""@name='RCV_TRANSACTION_TRANSACTION_QUANTITY_0'"") 1",,1117,Passed,"Data Used:1",ft.action,
"SelectItem tab(""@name='ALTER_REGION_CONTROL'"") Transactions",,1909,Passed,"",ft.action,
"SetText textField(""@name='RCV_TRANSACTION_RETURN_TO_TYPE_0'"") Supplier",,67,Passed,"Data Used:Supplier",ft.action,
"ClickToolbarButton window(""@name='TRANSACTIONS'"") Save",,969,Passed,"",ft.action,
"Forms Screen shot",,407,Passed,"",ft.screenshot,
"closeBrowser",289,17,Passed,"",ft.action,
"closeBrowser",290,62,Passed,"",ft.action,
"Finish Total (sec)",,64,Passed,"",basic.finish,
