214576,1,PO_Internal_Requisition_0014,4/13/2020 17:57:13 PM,0,Failed,4/13/2020 17:53:37 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,6848,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.719.18362.0",,6373,Passed,"",basic.step,
"Iteration Total (sec)",,207470,Failed,"",basic.iteration,
"GetNextDatabankRecord: PO_InternalRequisition_014",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, Al-Jubail, HP%, 01.01.100.30.7511.5615.00000, RAWTHERS]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",518,74,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",521,2565,Passed,"",web.pageComplete,
"Think: 5.132 (sec).",,5176,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",524,11578,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",525,58,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",526,278,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",527,49,Passed,"Data Used:welcome123",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",528,57,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",529,10599,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.244 (sec).",,3285,Passed,"",basic.comment,
"Click link(""@text='MAC ROLLING IPROCUREMENT'"")",532,265,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",533,706,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.14 (sec).",,4165,Passed,"",basic.comment,
"Click link(""@text='iProcurement Home Page'"")",536,150,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=7330&resp_id=53035&resp_appl_id=178&security_group_id=0&lang_code=US&params=muyUJSTiHoHmcnUx4IndYgvqrqa19x45mKf3QHp0UEA&oas=Gf3hD-Ye1Orqy6KiyQcC4A..",537,10837,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 0.752 (sec).",,775,Passed,"",basic.comment,
"Click textBox(""@id='SearchTextInput'"")",540,116,Passed,"",ft.action,
"Think: 0.457 (sec).",,486,Passed,"",basic.comment,
"SetText textBox(""@id='SearchTextInput'"") HP%",541,50,Passed,"Data Used:HP%",ft.action,
"Think: 3.139 (sec).",,3166,Passed,"",basic.comment,
"Click button(""@id='SearchBoxGo'"")",542,173,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/icatalog/shopping/webui/ShoppingHomePG&_ti=1953892938&retainAM=N&addBreadCrumb=N&OASF=ICX_CAT_SHOP_HOME&OAHP=ICX_POR_HOMEPAGE_MENU&oapc=9&oas=EutaDIoohZcXHV9yd4aRnQ..",543,23059,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.46 (sec).",,3485,Passed,"",basic.comment,
"Click element(""@text='1000015357'"")",546,460,Passed,"",ft.action,
"Think: 3.496 (sec).",,3529,Passed,"",basic.comment,
"Click button(""@id='SearchResultsTableRN1:AddToCart:2'"")",547,129,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/icatalog/shopping/webui/ShoppingHomePG&_ti=1953892938&retainAM=N&addBreadCrumb=N&OASF=ICX_CAT_SHOP_HOME&OAHP=ICX_POR_HOMEPAGE_MENU&oapc=9&oas=EutaDIoohZcXHV9yd4aRnQ..",548,5012,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/icatalog/shopping/webui/SearchResultsPG&searchOrigin=search&searchText=HP%25&mode=search&_ti=1953892938&retainAM=Y&addBreadCrumb=Y&oapc=11&oas=bJ6KaErFQpayg8d0zcn9CA..)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.288 (sec).",,2313,Passed,"",basic.comment,
"Click button(""@id='Checkout'"")",551,138,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=ICX_POR_SHOPPING_CART&retainAM=Y&_ti=1953892938&oapc=11&oas=46RZ3splPYGpA0X58hGwmA..",552,5098,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 2.412 (sec).",,2438,Passed,"",basic.comment,
"Click button(""@id='Checkout_uixr'"")",555,104,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?page=/oracle/apps/icx/por/req/webui/ShoppingCartPG&OASF=ICX_POR_SHOPPING_CART&retainAM=Y&_ti=1953892938&oapc=12&oas=BobqOSu0sL0BsiFwBeptkg..",556,13336,Passed,"",web.pageComplete,
