211725,1,PO_Internal_Requisition_0014,8/26/2019 18:16:58 PM,0,Passed,8/26/2019 18:13:25 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9924,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,9260,Passed,"",basic.step,
"Iteration Total (sec)",,201447,Passed,"",basic.iteration,
"Navigate http://riyoramgbm02.maaden.com:8050/",518,109,Passed,"",ft.action,
"Think: 0.281 (sec).",,327,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",520,10,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",521,1246,Passed,"",web.pageComplete,
"Think: 5.132 (sec).",,5174,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",524,3366,Passed,"",ft.action,
"Think: 0.675 (sec).",,710,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",525,58,Passed,"",ft.action,
"Think: 0.232 (sec).",,278,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",526,120,Passed,"",ft.action,
"Think: 1.678 (sec).",,1714,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",527,448,Passed,"",ft.action,
"Think: 0.12 (sec).",,146,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",528,55,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",529,4575,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 3.244 (sec).",,3272,Passed,"",basic.comment,
"Click link(""@text='MAC ROLLING IPROCUREMENT'"")",532,141,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",533,760,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.14 (sec).",,4166,Passed,"",basic.comment,
"Click link(""@text='iProcurement Home Page'"")",536,123,Passed,"",ft.action,
