413704,1,PO_RequisitionCreation_iProcurementAndApproval_012,8/26/2019 13:36:28 PM,0,Passed,8/26/2019 13:29:30 PM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,8708,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,8238,Passed,"",basic.step,
"Iteration Total (sec)",,404619,Passed,"",basic.iteration,
"GetNextDatabankRecord: PO_RequisitionCreation_iProcurementAndApproval_012",,2,Passed,"Data Used:[http://riyoramgbm02.maaden.com:8050/, PEETHAMBARANS, welcome123, Al-Jubail, HP%, 01.01.100.30.7511.5615.00000]",basic.resource,
"Navigate http://riyoramgbm02.maaden.com:8050/",230,75,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"Think: 0.336 (sec).",,380,Passed,"",basic.comment,
"Navigate http://riyoramgbm02.maaden.com:8050/",231,9,Passed,"Data Used:http://riyoramgbm02.maaden.com:8050/",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/",232,1059,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10041,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",,300,Passed,"",ft.action,
"SetText textBox(""@id='unamebean'"") PEETHAMBARANS",,61,Passed,"Data Used:PEETHAMBARANS",ft.action,
"PressTab textBox(""@id='unamebean'"")",,142,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,45,Passed,"Data Used:welcome123",ft.action,
"PressEnter textBox(""@id='pwdbean'"")",,56,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,4862,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 4.601 (sec).",,4626,Passed,"",basic.comment,
"Click link(""@text='MWSPC IPROCUREMENT'"")",243,176,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#",244,787,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.519 (sec).",,1542,Passed,"",basic.comment,
"Click link(""@text='iProcurement Home Page'"")",247,121,Passed,"",ft.action,
"WaitForPage http://riyoramgbm02.maaden.com:8050/OA_HTML/RF.jsp?function_id=7330&resp_id=55408&resp_appl_id=178&security_group_id=0&lang_code=US&params=muyUJSTiHoHmcnUx4IndYgvqrqa19x45mKf3QHp0UEA&oas=LWnUPX2YPc389tYohxznHg..",248,3929,Passed,"",web.pageComplete,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riyoramgbm02.maaden.com:8050/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 9.477 (sec).",,9499,Passed,"",basic.comment,
"Click image(""@alt='Copy Requisitions'"")",251,153,Passed,"",ft.action,
