35515,1,obj.PO_CreationRFQ_TwoStage_USER_ALDREESE_017,9/04/2019 11:39:04 AM,0,Failed,9/04/2019 11:38:27 AM,basic.step,Scripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9165,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.615.17763.0",,8604,Passed,"",basic.step,
"Iteration Total (sec)",,26010,Failed,"",basic.iteration,
"Navigate http://riysoaclone.maaden.com:8010/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=OvBUmRu46sAt.69pyuIAVg&oas=iULLGYppcvVzyvNU0BbE9g..",2,91,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=OvBUmRu46sAt.69pyuIAVg&oas=iULLGYppcvVzyvNU0BbE9g..",4,7692,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 0.819 (sec).",,854,Passed,"",basic.comment,
"Click textBox(""@id='unamebean'"")",7,326,Passed,"",ft.action,
"Think: 0.805 (sec).",,835,Passed,"",basic.comment,
"SetText textBox(""@id='unamebean'"") ALDREESE",8,55,Passed,"",ft.action,
"Think: 0.415 (sec).",,471,Passed,"",basic.comment,
"PressTab textBox(""@id='unamebean'"")",9,124,Passed,"",ft.action,
"Think: 0.724 (sec).",,760,Passed,"",basic.comment,
"SetPassword textBox(""@id='pwdbean'"") ******",10,493,Passed,"",ft.action,
"Think: 0.177 (sec).",,205,Passed,"",basic.comment,
"PressEnter textBox(""@id='pwdbean'"")",11,44,Passed,"",ft.action,
"WaitForPage http://riysoaclone.maaden.com:8010/OA_HTML/RF.jsp?function_id=31160&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=nOKGRBeq-tZe0hmuyh7eSdgWD5Fy7dE0rA8W6MZxvo8mfyp38wPVTvuN58aUxYBaynV4ziifLx0J3JKFMwNI24DHXWqsj0X9-0vFVeRm...",12,2442,Passed,"",web.pageComplete,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=http://riysoaclone.maaden.com:8010/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10023,Passed,"",basic.comment,
"Failed to playback",,27,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,63,Passed,"",basic.finish,
