108514,1,HCM_SickLeavebyJobLevel_0_to_6_Employee_0241,5/23/2021 19:15:33 PM,0,Passed,5/23/2021 19:13:44 PM,basic.step,Absence,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3134,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.212",,2678,Passed,"",basic.step,
"Iteration Total (sec)",,103549,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,91,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,23,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXMp86BkqKSEaKT2K8Wp0TfmqDgK4NqHbdsmTglq97JbtOp49u0yiSCDed9b1QOjQ5PHrbg%2B3rXImYXjzjT2vG%2FpnZWSPLp3BbxphGFtTKNgegHEH3esYAhCry1T%2Fg3aOOrGFCfHq5oGw...",,5546,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") usmanim@maaden.com.sa",,64,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,273,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,75,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,211,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DXMp86BkqKSEaKT2K8Wp0TfmqDgK4NqHbdsmTglq97JbtOp49u0yiSCDed9b1QOjQ5PHrbg%2B3rXImYXjzjT2vG%2FpnZWSPLp3BbxphGFtTKNgegHEH3esYAhCry1T%2Fg3aOOrGFCfHq5oGw...",,1325,Passed,"",web.pageComplete,
"focus",,1243,Passed,"",ft.action,
"Think: 1.147 (sec).",,1182,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,61,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=ap6oxyvt4_1&_adf.no-new-window-redirect=true&_afrLoop=6880778649119218&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1374,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3163,Passed,"",basic.comment,
"Click link(""@text='Me'"")",,221,Passed,"",ft.action,
"Click link(""@text='Time and Absences'"")",,217,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6880782139745817&_adf.ctrl-state=ap6oxyvt4_81",,2747,Passed,"",web.pageComplete,
"Think: 3.602 (sec).",,3622,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,202,Passed,"",ft.action,
"focus",,257,Passed,"",ft.action,
"Think: 0.895 (sec).",,911,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:lp1Upl:UPsp1:i2:3:tb1:TBpgl2'"")",,101,Passed,"",ft.action,
"Think: 0.895 (sec).",,908,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:lp1Upl:UPsp1:i2:3:tb1:TBpgl2'"")",,121,Passed,"",ft.action,
"Think: 5.351 (sec).",,5366,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:typSis:typSrh::content'"")",,205,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:typSis:typSrh::content'"") Sick Leave",,63,Passed,"",ft.action,
"Think: 2.485 (sec).",,2498,Passed,"",basic.comment,
"Click element(""@text='Sick Leave'"")",,264,Passed,"",ft.action,
"Think: 5.527 (sec).",,5546,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abSt1Dt::content'"") 19-May-2021",,1136,Passed,"",ft.action,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_my_information_absences1&_afrLoop=6880787370216576&_afrWindowMode=0&_afrWindowId=xk8ldb4bv&_a...",,1036,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abSt1Dt::content'"")",,195,Passed,"",ft.action,
"Think: 1.83 (sec).",,1843,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abEd1Dt::content'"")",,206,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abEd1Dt::content'"") 19-May-2021",,64,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abEd1Dt::content'"")",,187,Passed,"",ft.action,
"Think: 4.634 (sec).",,4651,Passed,"",basic.comment,
"Click element(""@text='Drag files here or click to add attachment'"")",,193,Passed,"",ft.action,
"Think: 1.815 (sec).",,1830,Passed,"",basic.comment,
"Click element(""@text='Add File'"")",,195,Passed,"",ft.action,
"Think: 3.803 (sec).",,3822,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:dffSh:dffDf_AbsenceRecordingsFlex1IteratorrejoiningDate__FLEX_EMPTY::content'"")",,253,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:dffSh:dffDf_AbsenceRecordingsFlex1IteratorrejoiningDate__FLEX_EMPTY::content'"") 20-May-2021",,72,Passed,"",ft.action,
"Think: 4.952 (sec).",,4971,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abSt1Dt::content'"") 19-May-2021",,74,Passed,"",ft.action,
"Click element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:SPsb2'"")",,337,Passed,"",ft.action,
"Think: 2.952 (sec).",,2968,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_UIShome::icon'"")",,198,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_my_information_absences1&_afrLoop=6880787370216576&_afrWindowMode=0&_afrWindowId=xk8ldb4bv&_a...",,1539,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?_adf.ctrl-state=esdpbq4sc_5&fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_my_information_absences1)",,0,Passed,"",web.frame,
"Click link(""@text='Tools'"")",,2321,Passed,"",ft.action,
"Think: 2.712 (sec).",,2729,Passed,"",basic.comment,
"Click link(""@text='Worklist'"")",,249,Passed,"",ft.action,
"Think: 2.727 (sec).",,2746,Passed,"",basic.comment,
"Click link(""@text='My Tasks'"")",,5417,Passed,"",ft.action,
"Think: 2.516 (sec).",,2528,Passed,"",basic.comment,
"Click link(""@text='Initiated Tasks '"")",,223,Passed,"",ft.action,
"Think: 2.21 (sec).",,2228,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: Approval of Sick Leave Absence Request for Mazhar Usmani Mohammad Ayub Khan from 2021-05-19 to 2021-05-19",basic.comment,
"Click link(""@id='pt1:_FOr1:1:_FONSr2:0:_FOTsr1:0:pt1:r3:1:tldc:taskTable:0:cl8'"")",,207,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/adf.task-flow?adf.tfId=taskDetail-task-flow-definition&adf.tfDoc=/WEB-INF/taskDetail-task-flow-definition.xml&taskId=c59bd37f-49f9-45b6-b939-55a017c57b3c&refreshURL=https...",,5518,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.181 (sec).",,2200,Passed,"",basic.comment,
"Maximize window(""@index='1'"")",,33,Passed,"",ft.action,
"focus",,175,Passed,"",ft.action,
"focus",,178,Passed,"",ft.action,
"focus",,178,Passed,"",ft.action,
"focus",,179,Passed,"",ft.action,
"focus",,175,Passed,"",ft.action,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/adf.task-flow?bpmWorklistTaskId=c59bd37f-49f9-45b6-b939-55a017c57b3c&bpmWorklistContext=c2ac47c1-94fe-4613-a193-8e7b0b76457e%3B%3BG%3B%3B%2BgwJg4K9bJ9mu6aGNRNjkcUGEFJwnidC...",,3485,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,1469,Passed,"",basic.finish,
"closeBrowser",,32,Passed,"",ft.action,
"Think: 1.21 (sec).",,1244,Passed,"",basic.comment,
"closeBrowser",640,34,Passed,"",ft.action,
