83795,1,HCM_Duplicate_SickLeavebyJobLevel_0_to_6_Employee_N_0242,5/23/2021 01:14:59 AM,0,Passed,5/23/2021 01:13:35 AM,basic.step,Absence,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3060,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.212",,2718,Passed,"",basic.step,
"Iteration Total (sec)",,80431,Passed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,88,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,20,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Di2pKGhRWsi%2FEi%2FEK6Cr3Qu4UT7ZdL6nsl4%2BkOs%2BY8%2BEWIJ6LYPOy9mIDlH1Nt5KUYEBUOrMrPe2%2BPo9M%2B7TrtNq9d4%2BwIQ4a8K3y12Luwg7O5MBjV3VdLRyUoDbH9H66QG...",,6121,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") usmanim@maaden.com.sa",,77,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,358,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,71,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,216,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Di2pKGhRWsi%2FEi%2FEK6Cr3Qu4UT7ZdL6nsl4%2BkOs%2BY8%2BEWIJ6LYPOy9mIDlH1Nt5KUYEBUOrMrPe2%2BPo9M%2B7TrtNq9d4%2BwIQ4a8K3y12Luwg7O5MBjV3VdLRyUoDbH9H66QG...",,1334,Passed,"",web.pageComplete,
"focus",,2297,Passed,"",ft.action,
"Think: 1.147 (sec).",,1174,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,49,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=10sbncnj58_1&_adf.no-new-window-redirect=true&_afrLoop=6815970580602020&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afr...",,1425,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3164,Passed,"",basic.comment,
"Click link(""@text='Me'"")",,203,Passed,"",ft.action,
"Click link(""@text='Time and Absences'"")",,194,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6815974768830960&_adf.ctrl-state=10sbncnj58_81",,2198,Passed,"",web.pageComplete,
"Think: 3.602 (sec).",,3618,Passed,"",basic.comment,
"Click element(""@oats_inject_js='1'"")",,202,Passed,"",ft.action,
"focus",,254,Passed,"",ft.action,
"Think: 0.895 (sec).",,909,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:lp1Upl:UPsp1:i2:3:tb1:TBpgl2'"")",,126,Passed,"",ft.action,
"Think: 0.895 (sec).",,911,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTsr1:0:lp1Upl:UPsp1:i2:3:tb1:TBpgl2'"")",,113,Passed,"",ft.action,
"Think: 5.351 (sec).",,5369,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:typSis:typSrh::content'"")",,200,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:typSis:typSrh::content'"") Sick Leave",,49,Passed,"",ft.action,
"Think: 5.485 (sec).",,5503,Passed,"",basic.comment,
"Click element(""@text='Sick Leave'"")",,247,Passed,"",ft.action,
"Think: 5.527 (sec).",,5547,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abSt1Dt::content'"") 19-May-2021",,69,Passed,"",ft.action,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_my_information_absences1&_afrLoop=6815980000677913&_afrWindowMode=0&_afrWindowId=1308ujdj6e&_...",,1043,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abSt1Dt::content'"")",,192,Passed,"",ft.action,
"Think: 1.83 (sec).",,1845,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abEd1Dt::content'"")",,210,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abEd1Dt::content'"") 19-May-2021",,75,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:adAbUpl:UPsp1:bsDtPce:abDtsT:0:abEd1Dt::content'"")",,189,Passed,"",ft.action,
"Think: 4.634 (sec).",,4654,Passed,"",basic.comment,
"Click element(""@text='Drag files here or click to add attachment'"")",,204,Passed,"",ft.action,
"Think: 1.815 (sec).",,1840,Passed,"",basic.comment,
"Click element(""@text='Add File'"")",,206,Passed,"",ft.action,
"Think: 3.803 (sec).",,3832,Passed,"",basic.comment,
