79260,1,HCM_ManagingAbsence_AdjustBalance_0237,5/15/2021 22:18:04 PM,0,Failed,5/15/2021 22:16:45 PM,basic.step,Absence,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3153,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.212",,2710,Passed,"",basic.step,
"Iteration Total (sec)",,75724,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,122,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,45,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DMPeTRIcjkYmF%2BPxq5JIj3mD%2FBH0Xew3LLGjqurNEzcP%2Fov%2F2qRVMgqWbtVmAzI5wBa539t6gZaUVHIY%2FTJSIsYQrELHFFBDq27KRpDv7UDB9Gz82OG78qJ9GH2UXbK2YHsDlvugv...",,6147,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") usmanim@maaden.com.sa",,75,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,289,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,66,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,211,Passed,"",ft.action,
"WaitForPage https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DMPeTRIcjkYmF%2BPxq5JIj3mD%2FBH0Xew3LLGjqurNEzcP%2Fov%2F2qRVMgqWbtVmAzI5wBa539t6gZaUVHIY%2FTJSIsYQrELHFFBDq27KRpDv7UDB9Gz82OG78qJ9GH2UXbK2YHsDlvugv...",,1378,Passed,"",web.pageComplete,
"focus",,1220,Passed,"",ft.action,
"Think: 1.147 (sec).",,1185,Passed,"",basic.comment,
"DoubleClick link(""@id='pt1:commandLink1'"")",,54,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.ctrl-state=8z1b45uwo_1&_adf.no-new-window-redirect=true&_afrLoop=6200561065231735&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrM...",,1390,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.147 (sec).",,3170,Passed,"",basic.comment,
"focus",,201,Passed,"",ft.action,
"Think: 0.147 (sec).",,168,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management'"")",,210,Passed,"",ft.action,
"Think: 3.147 (sec).",,3163,Passed,"",basic.comment,
"Click link(""@text='Person Management'"")",,208,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6200564543532658&_adf.ctrl-state=8z1b45uwo_81",,1578,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.444 (sec).",,2463,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"")",,214,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"") 118953",,91,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")",,223,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value00::content'"")  ",,63,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"")",,236,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1:value20::content'"") ",,80,Passed,"",ft.action,
"Think: 1.546 (sec).",,1566,Passed,"",basic.comment,
"DoubleClick button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:q1::search'"")",,95,Passed,"",ft.action,
"Think: 2.214 (sec).",,2234,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:pt1:Perso1:0:SP3:table1:_ATp:table2:0:cil1'"")",37,196,Passed,"",ft.action,
"Think: 2.237 (sec).",,2255,Passed,"",basic.comment,
"Click element(""@text='Absences'"")",,433,Passed,"",ft.action,
"Think: 2.088 (sec).",,2106,Passed,"",basic.comment,
"Click element(""@text='Absence Records'"")",40,349,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=6200573791473045&_afrWindowMode=0&_afrWindowI...",41,1499,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 4.411 (sec).",,4430,Passed,"",basic.comment,
"CapturePage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/faces/FndOverview?pEffectiveDate=2021-05-15&_afrLoop=6200588754691239&pAssignmentId=300000111110121&fndGlobalItemNodeId=itemNode_workforce_management_person_management&pPersonId...",,1137,Passed,"",web.capPage,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,210,Passed,"",ft.action,
"Info",,0,Passed,"Comments: old_Calendar_Days is : 21",basic.comment,
"Click element(""@text='Enrollments and Adjustments'"")",,223,Passed,"",ft.action,
"Think: 0.674 (sec).",,699,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:_ATp:ctb2::popEl'"")",,228,Passed,"",ft.action,
"Think: 0.674 (sec).",,692,Passed,"",basic.comment,
"Click element(""@text='Adjust Balance'"")",,262,Passed,"",ft.action,
"Think: 1.806 (sec).",,1823,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:soc3::content'"")",,203,Passed,"",ft.action,
"Think: 0.302 (sec).",,319,Passed,"",basic.comment,
"Click element(""@text='Accrued Back'"")",,217,Passed,"",ft.action,
"Think: 1.247 (sec).",,1270,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:it14::content'"")",,248,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:it14::content'"") 2",,67,Passed,"",ft.action,
"Think: 1.555 (sec).",,1576,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:id7::content'"")",,234,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:id7::content'"") 15-May-2021",,71,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:cb9'"")",,213,Passed,"",ft.action,
"Think: 2.693 (sec).",,2712,Passed,"",basic.comment,
"Click element(""@text='Accruals'"")",,223,Passed,"",ft.action,
"Think: 2.186 (sec).",,2205,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:_ATp:ctb1::popEl'"")",,207,Passed,"",ft.action,
"Think: 1.273 (sec).",,1293,Passed,"",basic.comment,
"Click element(""@text='Run Accruals for All Active Plans'"")",,266,Passed,"",ft.action,
"Think: 2.674 (sec).",,2695,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:id11::content'"")",,234,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:id11::content'"") 15-May-2021",,62,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAt1:0:AP1:r3:0:AT2:cb3'"")",,236,Passed,"",ft.action,
"Think: 10 (sec).",,10022,Passed,"",basic.comment,
"focus",,217,Passed,"",ft.action,
"Think: 0.052 (sec).",,72,Passed,"",basic.comment,
"focus",,251,Passed,"",ft.action,
"Think: 0.083 (sec).",,108,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: balance: 221",basic.comment,
"Failure",,1,Failed,"Test Case fail as new Calendar Days balance is not matching with addition of perivious and new balance. Please check the below screenshot.",basic.comment,
"Finish Total (sec)",,38,Passed,"",basic.finish,
