27123,1,HCM_ManagingAbsence_Delete_PlanBalance_0236,5/14/2021 01:26:26 AM,0,Failed,5/14/2021 01:25:59 AM,basic.step,Absence,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,920,Passed,"",basic.init,
"Launch Browser: Chrome 90.0.4430.212",,576,Passed,"",basic.step,
"Iteration Total (sec)",,25824,Failed,"",basic.iteration,
"Navigate https://login-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/",,145,Passed,"",ft.action,
"Maximize window(""@index='0'"")",,25,Passed,"",ft.action,
"WaitForPage https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=6039104216420090&_afrWindowMode=0&_afrWindowId=7q9fevjef&_adf.ctrl-state=5a040g00m_186&_afrFS=16&_afrMT=screen&_afrMFW=1280&_afrMFH=534&_afrMF...",,4138,Passed,"",web.pageComplete,
"Frame (URL=https://fa-epod-test-saasfaprod1.fa.ocs.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Failed to playback",,20548,Failed,"",ft.action,
"setText",,20182,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,76,Passed,"",basic.finish,
