71106,1,HCM_ ManageDepartment_0015,6/09/2020 12:51:14 PM,0,Failed,6/09/2020 12:50:02 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3377,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,2846,Passed,"",basic.step,
"Iteration Total (sec)",,66965,Failed,"",basic.iteration,
"Info",,3,Passed,"Comments: Name from data sheet is : --> Insurance",basic.comment,
"Info",,0,Passed,"Comments: locationCode from data sheet is : 0018",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,22879,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,77,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DAZpjrmnEv2evWfJBliY8%2FCuh0J4rMbvV2RfdKDrvVhL6AaQLASTSj9KB5cAFQCVjw18%2FeXSnLZxVV5VLGLdu4DNSHaceiWwKj2nPytiQmrg%2FmRZ67koUHtVHDY%2F41gDui0y%2FL8Mip6RlRQ1uYuEp0oj...",,8575,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,6,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,172,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,34,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,130,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=g7w5vbcr9_5&_afrLoop=393532978344607&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,9617,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,101,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=393541881357602&_adf.ctrl-state=g7w5vbcr9_65",,3406,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,326,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,293,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=393541881357602&_adf.ctrl-state=g7w5vbcr9_65#",,686,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Title of the page is : Oracle Applications",basic.comment,
"focus",28,9495,Passed,"",ft.action,
"Think: 0.1 (sec).",,124,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=393532127333509&_afrWindowMode=0&_afrWindowId=qezm243mj&_...",,534,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=393532127333509&_afrWindowMode=0&_afrWindowId=qezm243mj&_...",,523,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,1029,Passed,"",ft.action,
"Think: 2.352 (sec).",,2383,Passed,"",basic.comment,
"Failed to playback",,26641,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,331,Failed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,41,Failed,"",basic.stepGroup,
"Failed to playback",,3,Failed,"Failed to playback: No browser launched.",ft.action,
