35354,1,HCM_LogIn_LogOut,6/21/2020 20:34:57 PM,0,Passed,6/21/2020 20:34:22 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3399,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2706,Passed,"",basic.step,
"Iteration Total (sec)",,23986,Passed,"",basic.iteration,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,104,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dod%2BwSuybNVp5XPccMZIZiOEugsIPM9u0M%2Blwv%2FdiCTBRno52bRLXu9D%2Fh5ykmT11MNphEE%2B%2BhytDQ0xHS9hdcDgCYnswDanOWEzINMMVCWRurTH6Ez9wDRd4bp7a5TAWgYXk50pga5lupNRXzgxay...",,9906,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,11,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,217,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,54,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,166,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=it7iabwo2_5&_afrLoop=1458178279939256&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,7913,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,110,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1458185635810513&_adf.ctrl-state=it7iabwo2_65",,3582,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='pt1:_UIScmil1u::icon'"")",,264,Passed,"",ft.action,
"Finish Total (sec)",,7335,Passed,"",basic.finish,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1458185635810513&_adf.ctrl-state=it7iabwo2_65",,552,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='pt1:_UIScmil1u::icon'"")",,125,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1458185635810513&_adf.ctrl-state=it7iabwo2_65",,552,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.07 (sec).",,2090,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,123,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=11E00101017EFE4D06DAB8A0D...",,3246,Passed,"",web.pageComplete,
"closeBrowser",,11,Passed,"",ft.action,
