104240,1,HCM_ManageGrade_Search_0011,6/03/2020 12:39:38 PM,0,Failed,6/03/2020 12:37:53 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4377,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3757,Passed,"",basic.step,
"Iteration Total (sec)",,99260,Failed,"",basic.iteration,
"Info",,3,Passed,"Comments: Name from data sheet is : --> Monthly Basic Salary Grade Rate1",basic.comment,
"Info",,0,Passed,"Comments: LegislativeDataGroup from data sheet is : SA Legislative Data Group",basic.comment,
"Info",,1,Passed,"Comments: Grade from data sheet is : SA.03",basic.comment,
"Info",,0,Passed,"Comments: Rate Type from data sheet is : SA Legislative Data Group",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,25065,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,87,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dos7JTBY1%2B6wave0DWIW7%2FS%2BfharHtEwDQZeSqBPMWHVY1ArbTvlq%2BOQnsTrR1Pbz98QNUWJ8XqgkVQ6mxhjR7TJ3%2Bty3eo1PY9K14ouFptsv28tmTj6CCCcSlRFjvec4nizJoTiNsBjL0Kd5FEBUoH3...",,11534,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,12,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,238,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,43,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,144,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=liegcwges_5&_afrLoop=7736830063362503&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,7982,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,113,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7736836922843159&_adf.ctrl-state=liegcwges_65",,3877,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,352,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,281,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7736836922843159&_adf.ctrl-state=liegcwges_65#",,843,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: Title of the page is : https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures",basic.comment,
"focus",28,5183,Passed,"",ft.action,
"Think: 1.1 (sec).",,1122,Passed,"",basic.comment,
"Think: 2.91 (sec).",,2948,Passed,"",basic.comment,
"Find Object",,60731,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageGrade_Search_0011.web_path_svg_outline}} = /web:window[@index='0' or @title='Workforce Structures - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='lkma22j3d']/web:path[@className='svg-outline' and @d='M 25.188 35.5 h -4.875 a 0.982 0.982 0 0 1 -1 -1 v -4.844 a 0.982 0.982 0 0 1 1 -1 h 4.875 a 0.982 0.982 0 0 1 1 1 V 34.5 a 0.982 0.982 0 0 1 -1 1 Z m 1.188 -15.156 h -7.22 a 1.029 1.029 0 0 1 -1 -1 v -6.188 a 1.028 1.028 0 0 1 1 -1 h 7.219 a 1.028 1.028 0 0 1 1 1 v 6.188 a 1.028 1.028 0 0 1 -1 1 Z M 16 35.5 h -5 a 0.982 0.982 0 0 1 -1 -1 v -4.844 a 0.982 0.982 0 0 1 1 -1 h 5 a 0.982 0.982 0 0 1 1 1 V 34.5 a 0.982 0.982 0 0 1 -1 1 Z M 38.611 17.977 a 0.991 0.991 0 0 0 -0.624 0.437 l -9.2 14.612 l -1.439 5.153 l 4.342 -3.305 l 9.2 -14.611 a 1 1 0 0 0 -0.305 -1.374 l -1.224 -0.779 a 0.991 0.991 0 0 0 -0.75 -0.132 M 31.646 34.95 l -2.9 -1.848 M 39.631 22.24 l -2.9 -1.848' and @disabled='False' and @onabort='null' and @onblur='null' and @onchange='null' and @onclick='null' and @ondblclick='null' and @onfocus='null' and @onkeydown='null' and @onkeypress='null' and @onkeyup='null' and @onload='null' and @onmousedown='null' and @onmousemove='null' and @onmouseout='null' and @onmouseover='null' and @onmouseup='null' and @onreset='null' and @onselect='null' and @onsubmit='null' and @index='165'].",ft.action,
"Finish Total (sec)",,65,Passed,"",basic.finish,
