56161,1,HCM_ManageGrade_Search_0011,6/03/2020 16:00:54 PM,0,Passed,6/03/2020 15:59:58 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5611,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,4775,Passed,"",basic.step,
"Iteration Total (sec)",,49898,Passed,"",basic.iteration,
"Info",,3,Passed,"Comments: Name from data sheet is : --> SA.03",basic.comment,
"Info",,0,Passed,"Comments: Grade from data sheet is : SA.03",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,23710,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,160,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Duda6PhdcKFpNSJtmqpKdKvEQsseJfb0roBTpDJhJWwzsxS%2BYCPu99Iip60f%2F6usp0MSv1IIoam4e4juKxfItupWMnqmueptAIquHSSHgA8ZfBMysoq%2BnB4mtsM%2FKrEnxXamBn6exJYgEu1LuIdf%2BrH4...",,9752,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,10,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,333,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,54,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,195,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=q2qmlspkw_5&_afrLoop=7748938133290983&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,8006,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,143,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7748945505776280&_adf.ctrl-state=q2qmlspkw_65",,3755,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,436,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,304,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7748945505776280&_adf.ctrl-state=q2qmlspkw_65#",,928,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,0,Passed,"Comments: Title of the page is : https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures",basic.comment,
"focus",28,5554,Passed,"",ft.action,
"DoubleClick element(""@text='Grades'"")",115,3189,Passed,"",ft.action,
"focus",,89,Passed,"",ft.action,
"DoubleClick link(""@text='Manage Grades'"")",,192,Passed,"",ft.action,
"Think: 3.271 (sec).",,3294,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",,190,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"") SA.03",,120,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",,217,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value10::content'"") SA.03",,78,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1::search'"")",,161,Passed,"",ft.action,
"Click element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:pc1:_ATp:t1:0:outputText2'"")",103,2151,Passed,"",ft.action,
"Think: 3.271 (sec).",,3301,Passed,"",basic.comment,
"focus",104,147,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Displayed Name is : SA.03",basic.comment,
"Info",,0,Passed,"Comments: The Test Case is pass, as input code and out put code are same. The input code is : SA.03and the out put code is : SA.03",basic.comment,
"focus",,207,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Grage Code is : SA.03",basic.comment,
"focus",,75,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Status : Active",basic.comment,
"focus",,150,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Grade Type : Saudi National",basic.comment,
"focus",,144,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Grade Set : Common Set",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=7748950865862545&_afrWindowMode=0&_afrWindowId=yk6cw7xx1&...",,628,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Done'"")",109,129,Passed,"",ft.action,
"Finish Total (sec)",,110,Passed,"",basic.finish,
