102732,1,HCM_ManageJobs_ByJobName_JobCode_005,5/26/2020 23:40:03 PM,0,Failed,5/26/2020 23:38:20 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4475,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,3820,Passed,"",basic.step,
"Iteration Total (sec)",,89709,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,18366,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,91,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DaSbjkhvD6CJAlyrzXbCYH%2FyZZUNo2gWWe%2FUhbXurvDZHjmEL6umin0OLwUjgDk3UXVTY0V8wtARJeG%2BXnpm10j6WilESALOOvpEel776S%2FYvUZEnHttX01L3qTea1druKdWNFQSBZiM%2FZrlX50JR3AT...",,7266,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,9,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,229,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,42,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,135,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=14kdaenapf_5&_afrLoop=7085248805621138&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,5528,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,106,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7085253364102093&_adf.ctrl-state=14kdaenapf_65",,3765,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.1 (sec).",,1134,Passed,"",basic.comment,
"Click link(""@id='groupNode_workforce_management_2'"")",5,148,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",6,197,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7085253364102093&_adf.ctrl-state=14kdaenapf_65#",7,667,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",28,4390,Passed,"",ft.action,
"Think: 1.1 (sec).",,1141,Passed,"",basic.comment,
"focus",,70,Passed,"",ft.action,
"DoubleClick link(""@id='FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,198,Passed,"",ft.action,
"Think: 1.1 (sec).",,1122,Passed,"",basic.comment,
"Find Object",,60692,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageJobs_ByJobName_JobCode_005.Manage Jobs Name}} = /web:window[@index='0' or @title='Manage Jobs - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='zcd753tdb']/web:form[@id='f1' or @name='f1' or @index='0']/web:input_text[@id='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content' or @name='pt1:_FOr1:1:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00'].",ft.action,
"Finish Total (sec)",,8097,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,7998,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,1742,Passed,"",ft.action,
"Think: 2.07 (sec).",,2117,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,142,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=1C67034A1B8023056A1FCFFCA...",,3610,Passed,"",web.pageComplete,
"closeBrowser",,14,Passed,"",ft.action,
