47812,1,HCM_Manage_InvalidDivisions_0018,6/11/2020 19:03:59 PM,0,Passed,6/11/2020 19:03:10 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5453,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,4461,Passed,"",basic.step,
"Iteration Total (sec)",,34703,Passed,"",basic.iteration,
"Info",,3,Passed,"Comments: Division Name is  --> Aluminium1",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,18175,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,70,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dq9TaTAeHTHAZEXflqBSExjcUyuCNnvzpLh0PpGHF0sc8DYqPF7SaFybX4rITi6945dzSsAk37RkVJoc0QQV7mnkKj4QNeOZ6FpweLEWQmghXsgfHkhNGCTt%2BWHRPTWIknx92Ur5gr2NWoHtkThBGT9GoMq05Li9...",,8040,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,157,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,47,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,268,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=oeddlm45p_5&_afrLoop=588720448570027&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=...",,5293,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,88,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=588725189685498&_adf.ctrl-state=oeddlm45p_65",,3188,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,199,Passed,"",ft.action,
"Think: 0.2 (sec).",,242,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,103,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=588725189685498&_adf.ctrl-state=oeddlm45p_65#",,705,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,431,Passed,"",ft.action,
"focus",69,2198,Passed,"",ft.action,
"Think: 5 (sec).",,5025,Passed,"",basic.comment,
"focus",,112,Passed,"",ft.action,
"DoubleClick link(""@text='Manage Divisions'"")",,219,Passed,"",ft.action,
"Think: 2.641 (sec).",,2667,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00::content'"") Aluminium1",91,77,Passed,"",ft.action,
"Click button(""@text='Search'"")",,127,Passed,"",ft.action,
"Think: 1.674 (sec).",,1703,Passed,"",basic.comment,
"focus",,499,Passed,"",ft.action,
"Info",,1,Passed,"Comments: No results found.",basic.comment,
"Info",,0,Passed,"Comments: Test Cases pass as it is negative scenario",basic.comment,
"Finish Total (sec)",,7145,Passed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,7074,Passed,"",basic.stepGroup,
"Click element(""@className='svg-icon05'"")",,749,Passed,"",ft.action,
"Think: 2.07 (sec).",,2099,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,109,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=FACB8DC7BE427BB683499B5D7...",,3853,Passed,"",web.pageComplete,
"closeBrowser",,5,Passed,"",ft.action,
