55092,1,HCM_PersonalManagement_MandatoryField_0021,6/17/2020 14:46:15 PM,0,Passed,6/17/2020 14:45:19 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,5341,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.836.18362.0",,4623,Passed,"",basic.step,
"Iteration Total (sec)",,49184,Passed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,21607,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,105,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D8CdaiLU62zmPkKMVZbckCpBQ9zn7Y2yznU9dEt%2BqaFe14XK7oEpQxKY3PYNke5YEZKyOjna6%2FUuJ9ez4MMkRFzF3gRPGCLZq%2BHNQmj1mPvk6V7zVpwj%2F8a8zaP02Ddao7BYe1el3Yns67XxmhqMxLmIyz...",,9036,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,13,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,219,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,35,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,118,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=2b0g3ot77_5&_afrLoop=1091635032090525&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,7433,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,107,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1091641954834996&_adf.ctrl-state=2b0g3ot77_65",,3309,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Employee_Jobs_Name --> Hamoud Jassar Al-Hajri",basic.comment,
"Info",,0,Passed,"Comments: person_Number--> 20389",basic.comment,
"Info",,0,Passed,"Comments: National Id--> 1019507324",basic.comment,
"Click link(""@text='My Client Groups'"")",,142,Passed,"",ft.action,
"Click link(""@text='Person Management'"")",,175,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1091641954834996&_adf.ctrl-state=2b0g3ot77_65#",6,747,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_person_management:0:MAt1:0:pt1:Perso1:0:SP3:q1:value10::content'"") 20389",,2486,Passed,"",ft.action,
"DoubleClick button(""@text='Search'"")",,451,Passed,"",ft.action,
"Think: 2.869 (sec).",,2905,Passed,"",basic.comment,
"DoubleClick button(""@text='Search'"")",,210,Passed,"",ft.action,
"Think: 2.869 (sec).",,2900,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_person_management:0:MAt1:0:pt1:Perso1:0:SP3:table1:_ATp:table2:0:ot11'"")",,502,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_person_management&_afrLoop=1091647263459955&_afrWindowMode=0&_afrWindowId=1ckzg6bt20&_a...",6,723,Passed,"",web.capPage,
