69732,1,HCM_Search_ManagePosition_ByEmployee_Code_002,5/19/2020 18:00:10 PM,0,Failed,5/19/2020 17:59:00 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3188,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,2653,Passed,"",basic.step,
"Iteration Total (sec)",,59316,Failed,"Variable ""obj.HCM_Search_ManagePosition_ByEmployee_Code_002.web_a_Manage_Positions"" not found for string: {{obj.HCM_Search_ManagePosition_ByEmployee_Code_002.web_a_Manage_Positions}}",basic.iteration,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByEmployee_Code_002",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,124,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D7wCgcPmOZc%2FTU8Gm6Nx4BD0JmAGuX8QtzJzn6hd4ph%2Fc6hzJotuufPbcggsK3mU1MDtg8ZJyrYQTznLsSnpKefhfRP2urJ%2FabemQUE9Qu6ZMPvDReuimjv7QBk3doojiV2gstji9iCUpaAiJsn9iEJcH3D7...",,6095,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,209,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,44,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,124,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=1cmnc3lp3t_5&_afrLoop=6460104617383839&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,6643,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,88,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6460110459519476&_adf.ctrl-state=1cmnc3lp3t_65",,3328,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,809,Passed,"",ft.action,
"Think: 0.2 (sec).",,231,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,109,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6460110459519476&_adf.ctrl-state=1cmnc3lp3t_65#",,657,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,472,Passed,"",ft.action,
"focus",,5155,Passed,"",ft.action,
"Think: 6 (sec).",,6019,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,970,Passed,"",ft.action,
"Think: 6 (sec).",,6033,Passed,"",basic.comment,
"Finish Total (sec)",,6980,Passed,"",basic.finish,
"Click element(""@className='svg-icon05'"")",,913,Passed,"",ft.action,
"Think: 2.07 (sec).",,2100,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,130,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=1DA73511D04BD440671905669...",,3599,Passed,"",web.pageComplete,
"closeBrowser",,9,Passed,"",ft.action,
