150962,1,HCM_Search_WF_ManagePosition_001,5/20/2020 16:19:08 PM,0,Failed,5/20/2020 16:16:37 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,13907,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.778.18362.0",,11579,Passed,"",basic.step,
"Iteration Total (sec)",,122651,Failed,"",basic.iteration,
"GetNextDatabankRecord: HCM_Search_WF_ManagePosition_ByName_001",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, Vice President]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,882,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DqUmhdqsWXorjBAf8gn4u5e22P%2BFX2Tki8I3lDDJb%2BarJyw1nKQ010%2FYGekqy7qWSqnPXC1BO1U3xO7IRLszClTEguuIkWCfqur%2FgjhLaPX3EcSyPaR0ok9SP7E%2FNevE2qCzWbH02FX1hF83VNv8iMFS...",,20082,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,703,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,137,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,280,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=co3k41bzn_5&_afrLoop=6540372593133478&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,8130,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,181,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6540379138839621&_adf.ctrl-state=co3k41bzn_65",,7238,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,935,Passed,"",ft.action,
"Click link(""@text='Workforce Structures'"")",,156,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6540379138839621&_adf.ctrl-state=co3k41bzn_65#",,2030,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,3959,Passed,"",ft.action,
"Think: 2 (sec).",,2241,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,225,Passed,"",ft.action,
"SetText textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"") Vice President",,119,Passed,"Data Used:Vice President",ft.action,
"Click button(""@text='Search'"")",,172,Passed,"",ft.action,
"Think: 3 (sec).",,3037,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:AT1:_ATp:t1:0:cl1'"")",,900,Passed,"",ft.action,
"Find Object",,60466,Failed,"Find Object timeout. Detail information:{{obj.HCM_Search_WF_ManagePosition_ByName_001.Empployee_Id}} = /web:window[@index='0' or @title='Manage Positions - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='178y037fkn']/web:span[@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:posCode::content'].",ft.action,
"Finish Total (sec)",,13186,Passed,"",basic.finish,
"Click element(""@className='svg-icon05'"")",,1238,Passed,"",ft.action,
"Think: 2.07 (sec).",,2107,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,733,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=C9001E59D59C393AFF70CE339...",,8770,Passed,"",web.pageComplete,
"closeBrowser",,9,Passed,"",ft.action,
