72321,1,HCM_Search_WF_ManagePosition_001,6/21/2020 21:34:04 PM,0,Passed,6/21/2020 21:32:50 PM,basic.step,HCM,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3524,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2800,Passed,"",basic.step,
"Iteration Total (sec)",,61134,Passed,"",basic.iteration,
"GetNextDatabankRecord: HCM_Search_WF_ManagePosition_ByName_001",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, Vice President]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,108,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DxURl%2FLQcZBDv5za%2FDRxLAbqGSI%2FwVHQJb8I5hdRZezlG6b%2BaMzMeOAoLle3xLIK5sqd1FjiA6xa%2Ft20HqMXSr8zyr2omRIa%2BKgxfIVnATsSVhhV7p1tWeV3Wtl3XpdOc06zxb%2Bg8mOf6ZRvGRNJ...",,10737,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,210,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,43,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,136,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=13jvorpzbh_5&_afrLoop=1461702988113080&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,8995,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,109,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1461710627949267&_adf.ctrl-state=13jvorpzbh_65",,4062,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,257,Passed,"",ft.action,
"Click link(""@text='Workforce Structures'"")",,296,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1461710627949267&_adf.ctrl-state=13jvorpzbh_65#",,771,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,7815,Passed,"",ft.action,
"Think: 6 (sec).",,6027,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:0:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,189,Passed,"",ft.action,
"SetText textBox(""@name='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:q1:value00'"") Vice President",,77,Passed,"Data Used:Vice President",ft.action,
"Click button(""@text='Search'"")",,124,Passed,"",ft.action,
"Think: 3 (sec).",,3033,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP2:AT1:_ATp:t1:0:cl1'"")",,3410,Passed,"",ft.action,
"Think: 2 (sec).",,2030,Passed,"",basic.comment,
"focus",,3524,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Employee code  : 101447",basic.comment,
"focus",,71,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Employee Hirings Status : Approved",basic.comment,
"focus",,158,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Position : Vice President(A), Human Capital",basic.comment,
"focus",,82,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Dept : Learning & Development Partnerships",basic.comment,
"focus",,81,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Job: Vice President",basic.comment,
"Click element(""@text='o'"")",,382,Passed,"",ft.action,
"Think: 1.451 (sec).",,1476,Passed,"",basic.comment,
"Finish Total (sec)",,7389,Passed,"",basic.finish,
"Click element(""@className='svg-icon05'"")",,963,Passed,"",ft.action,
"Think: 2.07 (sec).",,2099,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,162,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/fusion_apps/pages/logoutConsent.jsp?logout_done_url=https%3A%2F%2Fejop-test.fa.em2.oraclecloud.com%3A443%2FfscmUI%2FadfAuthentication%3F_adf.authenticate%3Dtrue&logoutId=B3C98B3EDF3909903DAF44C97...",,3890,Passed,"",web.pageComplete,
"closeBrowser",,9,Passed,"",ft.action,
