70205,1,HCM_AbsencePlan_0026,7/02/2020 01:19:05 AM,0,Passed,7/02/2020 01:17:55 AM,basic.step,Sprint 2,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2486,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2000,Passed,"",basic.step,
"Iteration Total (sec)",,67311,Passed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,24991,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,4,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,79,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DQoUXrFotP5ZACXkTPZWxSCltR0BiVeIH7e%2Fe50B8LNszoTgJ5MVpzGDAu1x1RDC%2BxPFmDTyLA7xCGkBVFeWeZpsq6czsGkTrHL5d5piNGkPL2ECeg82xFdn59DrGqg2ZHYpvPzsOo55ABICZm1HOIQ%2FL46U...",,9034,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,6,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,213,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,37,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,214,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=pinektq1i_5&_afrLoop=2339201428979610&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1536&_afrMFH...",,10404,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,196,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2339211475123408&_adf.ctrl-state=pinektq1i_77",,3911,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Call Function: MyClientGroups_Absences.run",,3538,Passed,"",basic.stepGroup,
"Click link(""@text='My Client Groups'"")",,1443,Passed,"",ft.action,
"Click link(""@text='Absences'"")",,1211,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2339211475123408&_adf.ctrl-state=pinektq1i_77#",,685,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: The input Absence Plan Name captured from excel data sheet is : Accompany Sick",basic.comment,
"focus",,7272,Passed,"",ft.action,
"focus",5,1111,Passed,"",ft.action,
"focus",,84,Passed,"",ft.action,
"DoubleClick link(""@text='Absence Plans'"")",,159,Passed,"",ft.action,
"Think: 5.063 (sec).",,5091,Passed,"",basic.comment,
"focus",,916,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:MAnt2:1:AP1:qryId1:value00::content'"") Accompany Sick",,62,Passed,"",ft.action,
"Click button(""@text='Search'"")",,121,Passed,"",ft.action,
"Think: 5.686 (sec).",,5707,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_absence_administration:0:MAnt2:1:AP1:AT2:_ATp:t1:0:ot2'"")",13,547,Passed,"",ft.action,
"Think: 4.318 (sec).",,4336,Passed,"",basic.comment,
"focus",15,125,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Absence Plane name : Accompany Sick",basic.comment,
"focus",16,744,Passed,"",ft.action,
"Info",,1,Passed,"Comments: Plan Type is : Accrual",basic.comment,
"focus",17,644,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Management is : User-defined",basic.comment,
"focus",18,366,Passed,"",ft.action,
"Info",,0,Passed,"Comments: Legislation : Saudi Arabia",basic.comment,
"Info",,0,Passed,"Comments: The Test Case Pass as the expected Absence Plane name and Actual Absence Plane name are same.",basic.comment,
