50182,1,HCM_Invalid_AbsencePlan_0027,6/30/2020 17:05:32 PM,0,Failed,6/30/2020 17:04:41 PM,basic.step,Sprint 2,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1625,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,926,Passed,"",basic.step,
"Iteration Total (sec)",,47870,Failed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,47106,Failed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,89,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_afrLoop=2223197098102443&_afrWindowMode=0&_afrWindowId=11djd1r0o7&_adf.ctrl-state=1c08pkmyw1_134&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=906&_afrMFDW=1920&_afrM...",,12212,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"setText",,32717,Failed,"Failed to get a response after sending the message: <Message name=""GetChildren""><Parameter tag=""window""></Parameter><RequiredAttribute name=""index"" logic=""OR"" value=""0"" operator=""EQUALS""></RequiredAttribute><RequiredAttribute name=""title"" logic="""" value=""Manage Positions - Workforce Structures - Oracle Applications"" operator=""EQUALS""></RequiredAttribute></Message>.",ft.action,
"Finish Total (sec)",,150,Passed,"",basic.finish,
