60500,1,MyClientGroups_Absences,6/22/2020 17:17:54 PM,0,Failed,6/22/2020 17:16:52 PM,basic.step,Sprint 2,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4196,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,3444,Passed,"",basic.step,
"Iteration Total (sec)",,25900,Passed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,23958,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,4,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,145,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DB8LSRzC3ACcVORy4fm%2Bc73hZRvCRrj7yQOmvLIJx9pEjnWGLchOt3J2tpiXJsCAQYymbYDj2wbDso6BVlD%2BTD2m6aaX3T%2FznYgBy8EMENYS%2BiA9qmIH4aCBXBAJYDxHuvrRAQqji3WO7gUJGaoPaYbzPx...",,8940,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,8,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,222,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,46,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,132,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=ksegnndy5_5&_afrLoop=1532741618298572&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,9180,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,122,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1532750272938428&_adf.ctrl-state=ksegnndy5_65",,3875,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,212,Passed,"",ft.action,
"Click link(""@text='Absences'"")",,287,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1532750272938428&_adf.ctrl-state=ksegnndy5_65#",,808,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,29898,Failed,"",basic.finish,
"Call Function: HCM_LogIn_LogOut.finish",,29600,Failed,"",basic.stepGroup,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=1532750272938428&_adf.ctrl-state=ksegnndy5_65#",,619,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@id='pt1:_UIScmil1u::icon'"")",,8843,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_absence_administration&_afrLoop=1532741369744664&_afrWindowMode=0&_afrWindowId=1228jphe...",,539,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 2.07 (sec).",,2098,Passed,"",basic.comment,
"Failed to playback",,17132,Failed,"Failed to playback: No browser launched.",ft.action,
