18189,1,HCM_Edit_CostingDepartments_0064,8/26/2020 11:57:51 AM,0,Failed,8/26/2020 11:57:33 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1304,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,780,Passed,"",basic.step,
"Iteration Total (sec)",,16248,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,55,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,10,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7129586725071201&_afrWindowMode=0&_afrWindowId=o8ug9mqlb&_adf.ctrl-state=gd4k4dzs2_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=428&_afrMFDW=1920&_afrMFDH=1080&_a...",,6803,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='userid'"") Sujit.swain",,654,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,721,Passed,"",ft.action,
"Failed to playback",,6440,Failed,"",ft.action,
"setPassword",,5384,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,92,Passed,"",basic.finish,
