107007,1,HCM_Delete_CostingDepartments_0065,8/25/2020 18:35:43 PM,0,Failed,8/25/2020 18:33:55 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4071,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,3459,Passed,"",basic.step,
"Iteration Total (sec)",,102304,Failed,"",basic.iteration,
"Maximize window(""@index='0'"")",,111,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,32,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,7908,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,330,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,138,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,49,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,138,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7066957346707329&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=krrgiltfs_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,30384,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='itemNode_payroll_accounting_distribution_4'"")",,3024,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7066957346707329&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=krrgiltfs_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",168,1063,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 9.686 (sec).",,9723,Passed,"",basic.comment,
"focus",,2440,Passed,"",ft.action,
"Think: 1.686 (sec).",,1721,Passed,"",basic.comment,
"Click image(""@alt='Tasks'"")",,581,Passed,"",ft.action,
"Think: 3.686 (sec).",,3717,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTRaT:0:RAtl4'"")",,156,Passed,"",ft.action,
"Think: 3.686 (sec).",,3728,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value00::content'"") 111",,99,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value20::content'"")",,173,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value20::content'"") Riyadh",,109,Passed,"",ft.action,
"Think: 0.015 (sec).",,42,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value30::content'"")",,158,Passed,"",ft.action,
"Click element(""@text='SA Legislative Data Group'"")",,171,Passed,"",ft.action,
"Think: 0.38 (sec).",,416,Passed,"",basic.comment,
"ShowContextMenu textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value40::content'"")",,62,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value40::content'"")",,117,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query::search'"")",,156,Passed,"",ft.action,
"Think: 3.022 (sec).",,3067,Passed,"",basic.comment,
"Click element(""@text='111'"")",,489,Passed,"",ft.action,
"Think: 5.022 (sec).",,5042,Passed,"",basic.comment,
"focus",,186,Passed,"",ft.action,
"focus",,155,Passed,"",ft.action,
"focus",,129,Passed,"",ft.action,
"focus",,580,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_payroll_accounting_distribution&_afrLoop=7066983675398426&_afrWindowMode=0&_afrWindowId=ils1ghukh&_adf.ctrl-...",,476,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 0.709 (sec).",,736,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:1:AP1:activeCommandToolbarButton1::popEl'"")",,351,Passed,"",ft.action,
"Think: 0.994 (sec).",,1014,Passed,"",basic.comment,
"Failed to playback",,19118,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,80,Failed,"",basic.finish,
"Failed to playback",,116,Failed,"Failed to playback: No browser launched.",ft.action,
