95137,1,HCM_Edit_CostingDepartments_0064,8/25/2020 14:01:25 PM,0,Passed,8/25/2020 13:59:49 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3199,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2630,Passed,"",basic.step,
"Iteration Total (sec)",,83570,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,80,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,16,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4824,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,185,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,114,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,35,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,111,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7050501685290651&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=3a8e6nbtr_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,8044,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='itemNode_payroll_accounting_distribution_4'"")",,713,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7050501685290651&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=3a8e6nbtr_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",168,844,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 9.686 (sec).",,9709,Passed,"",basic.comment,
"focus",,123,Passed,"",ft.action,
"Think: 1.686 (sec).",,1707,Passed,"",basic.comment,
"Click image(""@alt='Tasks'"")",,97,Passed,"",ft.action,
"Think: 3.686 (sec).",,3708,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTRaT:0:RAtl4'"")",,127,Passed,"",ft.action,
"Think: 3.686 (sec).",,3724,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value00::content'"") 111",,69,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value20::content'"")",,133,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value20::content'"") Riyadh",,68,Passed,"",ft.action,
"Think: 0.015 (sec).",,30,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FONSr2:0:MAnt2:1:pt1:DeptS1:0:AP2:query:value30::content'"")",,103,Passed,"",ft.action,
"Click element(""@text='SA Legislative Data Group'"")",,118,Passed,"",ft.action,
"Think: 0.38 (sec).",,405,Passed,"",basic.comment,
