87052,1,HCM_GenerateSalaryBeyondtheRangeReport_0060,8/17/2020 19:47:10 PM,0,Passed,8/17/2020 19:45:43 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3006,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2494,Passed,"",basic.step,
"Iteration Total (sec)",,83545,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,127,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,23,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,2295,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,302,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,180,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,50,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,112,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6380066786980255&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=16k3e6idd3_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMF...",,7022,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='c_2e35b6cc76de45baa68af32a74ed7572_10'"")",,267,Passed,"",ft.action,
"Think: 0.408 (sec).",,443,Passed,"",basic.comment,
"Click link(""@id='c_539a7e59aedf4a4fab8b7d7bb8fa3baa_5'"")",,144,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FSalary%20beyond%20the%20range%20report%2FReport%2FSalary...",,2360,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?CacheStaticFiles&timeout=3)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10048,Passed,"",basic.comment,
"Click image(""@alt='Refresh'"")",,164,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,1622,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Salary%20beyond%20the%20range%20report/Report/Salary%20beyond%20the%20range%20report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%...",,0,Passed,"",web.frame,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/xmlpserver/loading.jsp?_xdo=%2FCustom%2FHuman+Capital+Management%2FReports%2FHuman+Resources%2FSalary+beyond+the+range+report%2FReport%2FSalary+beyond+the+range+report.xdo&_id=7bcaa3e4-d460-4254-9d1f...",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10021,Passed,"",basic.comment,
"DoubleClick element(""@text='Industrial Minerals Company (IMC)'"")",,7732,Passed,"",ft.action,
"DoubleClick element(""@text='4016621'"")",,1214,Passed,"",ft.action,
"DoubleClick element(""@text='Ibrahim Mohammad AL Shenqiti'"")",,919,Passed,"",ft.action,
"DoubleClick element(""@text='300073'"")",,922,Passed,"",ft.action,
"DoubleClick element(""@text='Buyer II'"")",,1038,Passed,"",ft.action,
"DoubleClick element(""@text='Buyer'"")",,951,Passed,"",ft.action,
"DoubleClick element(""@text='Procurement'"")",,959,Passed,"",ft.action,
"DoubleClick element(""@text='Madinah'"")",,940,Passed,"",ft.action,
"DoubleClick element(""@text='SA.12'"")",,907,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,2609,Passed,"",web.capPage,
