17098,1,HCM_GenerateMissingDepartmentManagersReport_0061,8/18/2020 00:30:10 AM,0,Passed,8/18/2020 00:29:53 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3551,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2859,Passed,"",basic.step,
"Iteration Total (sec)",,12891,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,156,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,23,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,2402,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,298,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,166,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,34,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,112,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6397103742737617&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=1l2vd5y1s_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,7438,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='c_2e35b6cc76de45baa68af32a74ed7572_10'"")",,297,Passed,"",ft.action,
"Finish Total (sec)",,118,Passed,"",basic.finish,
