96682,1,HCM_GenerateSalaryBeyondtheRangeReport_0060,8/17/2020 20:25:36 PM,0,Passed,8/17/2020 20:24:00 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3173,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2587,Passed,"",basic.step,
"Iteration Total (sec)",,92979,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,130,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,17,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,6387,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,285,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,108,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,41,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,106,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6382366990463677&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=19yhyfizyx_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMF...",,6801,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='c_2e35b6cc76de45baa68af32a74ed7572_10'"")",,229,Passed,"",ft.action,
"Click link(""@id='c_539a7e59aedf4a4fab8b7d7bb8fa3baa_5'"")",,211,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?bipublisherEntry&Action=open&itemType=.xdo&bipPath=%2FCustom%2FHuman%20Capital%20Management%2FReports%2FHuman%20Resources%2FSalary%20beyond%20the%20range%20report%2FReport%2FSalary...",,2685,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?CacheStaticFiles&timeout=3)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10042,Passed,"",basic.comment,
"Click image(""@alt='Refresh'"")",,156,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,2322,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/xmlpserver/Custom/Human%20Capital%20Management/Reports/Human%20Resources/Salary%20beyond%20the%20range%20report/Report/Salary%20beyond%20the%20range%20report.xdo?_xpf=&_xpt=0&_xmode=2&_xdo=%2FCustom%...",,0,Passed,"",web.frame,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/xmlpserver/loading.jsp?_xdo=%2FCustom%2FHuman+Capital+Management%2FReports%2FHuman+Resources%2FSalary+beyond+the+range+report%2FReport%2FSalary+beyond+the+range+report.xdo&_id=a8e815f9-43e5-40f1-ae5b...",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10025,Passed,"",basic.comment,
"DoubleClick element(""@text='Industrial Minerals Company (IMC)'"")",,9888,Passed,"",ft.action,
"DoubleClick element(""@text='4016621'"")",,1406,Passed,"",ft.action,
"DoubleClick element(""@text='Ibrahim Mohammad AL Shenqiti'"")",,1020,Passed,"",ft.action,
"DoubleClick element(""@text='300073'"")",,844,Passed,"",ft.action,
"DoubleClick element(""@text='Buyer II'"")",,881,Passed,"",ft.action,
"DoubleClick element(""@text='Buyer'"")",,983,Passed,"",ft.action,
"DoubleClick element(""@text='Procurement'"")",,944,Passed,"",ft.action,
"DoubleClick element(""@text='Madinah'"")",,843,Passed,"",ft.action,
"DoubleClick element(""@text='SA.12'"")",,997,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/analytics/saw.dll?bipublisherEntry",,2482,Passed,"",web.capPage,
