18325,1,HCM_GenerateWorkforcePlanningReport_0059,8/16/2020 20:01:26 PM,0,Passed,8/16/2020 20:01:08 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2866,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2366,Passed,"",basic.step,
"Iteration Total (sec)",,15051,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,132,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,18,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,3246,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,212,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,111,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,34,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,98,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=6294580852928182&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=9vgbrvqf6_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,8879,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='c_2e35b6cc76de45baa68af32a74ed7572_10'"")",,268,Passed,"",ft.action,
"Think: 0.408 (sec).",,445,Passed,"",basic.comment,
"Finish Total (sec)",,53,Passed,"",basic.finish,
