65714,1,HCM_Manage Grades_CreateGrade_0046,8/02/2020 10:30:54 AM,0,Passed,8/02/2020 10:29:48 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3141,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2428,Passed,"",basic.step,
"Iteration Total (sec)",,62306,Passed,"",basic.iteration,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,144,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,4095,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,280,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,133,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,313,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,116,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5050413310592298&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=12zvtv57e_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,11660,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,415,Passed,"",ft.action,
"Think: 0.998 (sec).",,1042,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,117,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5050413310592298&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=12zvtv57e_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,849,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"DoubleClick element(""@text='Grades'"")",,12705,Passed,"",ft.action,
"Think: 1.539 (sec).",,1567,Passed,"",basic.comment,
"DoubleClick element(""@className='svg-outline'"")",,1342,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:3:ll02Pce:ll01Lv:2:ll01Pse:ll01Cl'"")",,118,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:3:ll02Pce:ll01Lv:2:ll01Pse:ll01Cl'"")",,339,Passed,"",ft.action,
"Think: 2.37 (sec).",,2403,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",,144,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"") S3",,62,Passed,"",ft.action,
"Think: 0.007 (sec).",,30,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1::search'"")",,116,Passed,"",ft.action,
"Think: 5.302 (sec).",,5327,Passed,"",basic.comment,
"Click element(""@text='S2'"")",,346,Passed,"",ft.action,
"Think: 5.254 (sec).",,5278,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP6:inputText14::content'"")",,322,Passed,"",ft.action,
"Think: 0.96 (sec).",,980,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP6:inputText13::content'"")",,295,Passed,"",ft.action,
"Think: 0.804 (sec).",,834,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:6:AP6:selectOneChoice1::content'"")",,169,Passed,"",ft.action,
"Think: 0.047 (sec).",,110,Passed,"",basic.comment,
"DoubleClick element(""@text='1/1/51'"")",,374,Passed,"",ft.action,
"Think: 2.502 (sec).",,2537,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=5050424138850462&_afrWindowMode=0&_afrWindowId=e33ppleer&...",,545,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='o'"")",,450,Passed,"",ft.action,
"Think: 1.13 (sec).",,1150,Passed,"",basic.comment,
"Click element(""@id='_FOpt1:_UIScmil1u::icon'"")",,309,Passed,"",ft.action,
"Think: 0.697 (sec).",,720,Passed,"",basic.comment,
"Click link(""@text='Sign Out'"")",,212,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=5050424138850462&_afrWindowMode=0&_afrWindowId=e33ppleer&...",,626,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"closeBrowser",,11,Passed,"",ft.action,
"Finish Total (sec)",,46,Passed,"",basic.finish,
