76261,1,HCM_ManageCostingDepartments_0063,8/26/2020 11:14:02 AM,0,Passed,8/26/2020 11:12:46 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3066,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2395,Passed,"",basic.step,
"Iteration Total (sec)",,72784,Passed,"",basic.iteration,
"Maximize window(""@index='0'"")",,71,Passed,"",ft.action,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",,13,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",,3895,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,179,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,100,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,38,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,108,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7126876951855487&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=4biukvg41_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,9927,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='itemNode_payroll_accounting_distribution_4'"")",,604,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=7126876951855487&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=4biukvg41_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",168,714,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.686 (sec).",,3710,Passed,"",basic.comment,
"focus",,178,Passed,"",ft.action,
"Think: 2.686 (sec).",,2709,Passed,"",basic.comment,
"Click image(""@alt='Tasks'"")",,263,Passed,"",ft.action,
"Think: 3.686 (sec).",,3709,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FONSr2:0:_FOTRaT:0:RAtl4'"")",,100,Passed,"",ft.action,
"Think: 3.686 (sec).",,3727,Passed,"",basic.comment,
