42438,1,HCM_ManageDepartments_CreateDepartment_0043,7/21/2020 00:37:04 AM,0,Passed,7/21/2020 00:36:21 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2983,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2333,Passed,"",basic.step,
"Iteration Total (sec)",,38909,Passed,"",basic.iteration,
"Info",,1,Passed,"Comments: DepartmentName is : Department_2",basic.comment,
"Info",,0,Passed,"Comments: ClassificationName is : Operation",basic.comment,
"Info",,1,Passed,"Comments: LocationName is : riyadh",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,21577,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,71,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DaMfI34iCqt4SWgmemFLOIpiCIy4kQb%2F%2Bmf3d9QxRWknYS1WHVussaln4Xp1D1dcPl9Yk5025HwiWGgOm4e%2FWFhUNK51rE9ZP%2FnDm0ON6ecG2yiQhlT8bWIGm6qVo1rTWG6yN7KrK4g7JfIRe%2FRLzydA...",,6068,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,12,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,157,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,43,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,125,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=tdc22hcrn_5&_afrLoop=3978292117602290&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,9718,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,89,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3978301270430815&_adf.ctrl-state=tdc22hcrn_77",,4174,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,195,Passed,"",ft.action,
"Think: 2.526 (sec).",,2557,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,116,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3978301270430815&_adf.ctrl-state=tdc22hcrn_77#",,744,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,4396,Passed,"",ft.action,
"PressTab element(""@text='Organizations'"")",,236,Passed,"",ft.action,
"Think: 3.862 (sec).",,3883,Passed,"",basic.comment,
"focus",,183,Passed,"",ft.action,
"focus",,189,Passed,"",ft.action,
"DoubleClick link(""@text='Manage Departments'"")",,604,Passed,"",ft.action,
"Think: 1.862 (sec).",,1886,Passed,"",basic.comment,
"Finish Total (sec)",,110,Passed,"",basic.finish,
