132770,1,HCM_ManageDepartments_EditDepartment_0045,7/22/2020 20:34:10 PM,0,Failed,7/22/2020 20:31:57 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2754,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2306,Passed,"",basic.step,
"Iteration Total (sec)",,129607,Failed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective_Start_Date is : 1/1/20",basic.comment,
"Info",,0,Passed,"Comments: DepartmentName is : Sujit_Division_4",basic.comment,
"Info",,0,Passed,"Comments: InternalAddress is : Kolkata",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,30986,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,69,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D6y6t%2FOMyxqSg5Kq2fwjQs%2FRXXcnNSw5A5x94g6db6zOKtagzwtvsSzvP1gWNxPMIOZYdmZ9lbsbpOavtH716pNaiUWy%2BoxucFsa6yJm%2BXEwXu6BSf4kKOHRGTMMoU7GjdbdD2Hm%2FBz1qwETMh171HRx...",,11971,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,172,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,47,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,124,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=e453dnr4w_5&_afrLoop=4136434582547700&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,13223,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,102,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=4136446863289879&_adf.ctrl-state=e453dnr4w_77",,4378,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,1360,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,297,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=4136446863289879&_adf.ctrl-state=e453dnr4w_77#",,821,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,381,Passed,"",ft.action,
"Think: 2.862 (sec).",,2888,Passed,"",basic.comment,
"focus",,8414,Passed,"",ft.action,
"Think: 3.862 (sec).",,3889,Passed,"",basic.comment,
"focus",,212,Passed,"",ft.action,
"Click link(""@text='Manage Departments'"")",,1910,Passed,"",ft.action,
"DoubleClick link(""@text='Manage Departments'"")",,2039,Passed,"",ft.action,
"Think: 3.862 (sec).",,3888,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"")",,162,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value00::content'"") Sujit_Division_4",,80,Passed,"",ft.action,
"Click button(""@text='Search'"")",,136,Passed,"",ft.action,
"Think: 2.033 (sec).",,2077,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:AT1:_ATp:table1:0:commandLink1'"")",,2888,Passed,"",ft.action,
"Think: 2.371 (sec).",,2405,Passed,"",basic.comment,
"Find Object",,61301,Failed,"Find Object timeout. Detail information:{{obj.HCM_ManageDepartments_EditDepartment_0045.Dept_Name}} = /web:window[@index='0' or @title='Manage Departments - Workforce Structures - Oracle Applications']/web:document[@index='0' or @name='1do2lzmywo']/web:span[@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:ap1:inputText3::content'].",ft.action,
"Finish Total (sec)",,51,Passed,"",basic.finish,
