138116,1,HCM_ManageGradeRates_CorrectGradeRates_0053,8/09/2020 13:34:44 PM,0,Failed,8/09/2020 13:32:25 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4173,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,3506,Passed,"",basic.step,
"Iteration Total (sec)",,133205,Failed,"",basic.iteration,
"Info",,2,Passed,"Comments: Legislative Input For Search is : SA Legislative Data Group",basic.comment,
"Info",,1,Passed,"Comments: Effective Start Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: Grade Name is : Leg8",basic.comment,
"Info",,0,Passed,"Comments: Grade code is : SujitGrade3",basic.comment,
"Info",,1,Passed,"Comments: Grade MIN Value is : 10",basic.comment,
"Info",,1,Passed,"Comments: Grade MAX Value is : 20",basic.comment,
"Info",,0,Passed,"Comments: Grade Value is : 11",basic.comment,
"Info",,0,Passed,"Comments: Action_Reason_Valueis : Data Correction",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",8,93,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",10,4219,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",11,248,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",12,161,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",13,38,Passed,"",ft.action,
"PressEnter textBox(""@id='password'"")",,64,Passed,"",ft.action,
"Click link(""@text='You have a new home page!'"")",,232,Passed,"",ft.action,
"DoubleClick link(""@text='You have a new home page!'"")",,110,Passed,"",ft.action,
"Think: 5.019 (sec).",,5061,Passed,"",basic.comment,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5666472762743571&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=28qum98ak_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",18,652,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",4,174,Passed,"",ft.action,
"Think: 1.018 (sec).",,1051,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,137,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5666472762743571&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=28qum98ak_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,778,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.018 (sec).",,1041,Passed,"",basic.comment,
"focus",,7302,Passed,"",ft.action,
"Think: 0.026 (sec).",,58,Passed,"",basic.comment,
"focus",10,2134,Passed,"",ft.action,
"Think: 1.639 (sec).",,1685,Passed,"",basic.comment,
"focus",11,1541,Passed,"",ft.action,
"Think: 1.731 (sec).",,1772,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:3:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",12,3076,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:3:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",12,2274,Passed,"",ft.action,
"Think: 1.341 (sec).",,1376,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP4:q1:value00::content'"")",,146,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP4:q1:value00::content'"") Leg8",,94,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP4:q1::search'"")",,147,Passed,"",ft.action,
"Think: 2.084 (sec).",,2117,Passed,"",basic.comment,
"DoubleClick element(""@text='Leg3'"")",,558,Passed,"",ft.action,
"Think: 2.118 (sec).",,2162,Passed,"",basic.comment,
"Click element(""@text='Edit'"")",,411,Passed,"",ft.action,
"Think: 0.118 (sec).",,155,Passed,"",basic.comment,
"Click element(""@text='Correct'"")",,126,Passed,"",ft.action,
"Think: 2.118 (sec).",,2153,Passed,"",basic.comment,
"Think: 0.782 (sec).",,813,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:soc2::drop'"")",,124,Passed,"",ft.action,
"Think: 1.952 (sec).",,1991,Passed,"",basic.comment,
"Click element(""@text='Quarterly'"")",,143,Passed,"",ft.action,
"Think: 2.466 (sec).",,2507,Passed,"",basic.comment,
"Click element(""@text='Submit'"")",107,510,Passed,"",ft.action,
"Think: 2.076 (sec).",,2109,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:tt1:okWarningDialog'"")",,112,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:tt1:okWarningDialog'"")",,124,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:scOk'"")",,108,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:tt1:okWarningDialog'"")",,241,Passed,"",ft.action,
