98495,1,HCM_ManageGradeRates_CreateGradeRates_0050,8/04/2020 21:20:58 PM,0,Passed,8/04/2020 21:19:19 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2701,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2148,Passed,"",basic.step,
"Iteration Total (sec)",,95538,Passed,"",basic.iteration,
"GetNextDatabankRecord: HCM_ManageGradeRates_CreateGradeRates_0050",,7,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZrWQnSGMYj07%2Fusz6VkQtef18L2%2B0EmtpWYaHcBCd2BRK32UgWghscnWPkDXG2QCt%2FiifKF2SOKTSXxYqFN6PmUgBXAqmkaXK4Eq4LgL85H8mpXorM3dMU4nAmVUj6WkEoGBNWBW7g%2BnU%2BHtbQbK3BisRvUHabfzeHZSQtitqM5VzrCID8SR7NlmFCL2w39w1u6U08BDkhFI6EBxrHqi6X1Wah6zz561jEiZTbrw4Fzlgcc0KpBfJ4w2HZT3tpVGWqCXtOJLW7gKJFoERDWDYBE9MCrsajDC31HH5Phf0Kb%2F2Qy5ISbfAeEBMw4yvvjeAdbxCk3lTP7yd05VAtQGa6qIjbnchK2DRhbm2Fz7pHoqbOmcAJX3mQVEQOdLUmWcrQ%3D%3D%20agentid%3DOraFusionApp_11AG%20ver%3D1%20crmethod%3D2%26cksum%3D1b47fe7bc793dfb61781450c52bd6e238d44e697&ECID-Context=1.005dBmlYgvR8Xrg_lDc9yZ0003ZW0001Pq%3BkXjE, Sujit.swain, Welcome123]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",8,79,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZrWQnSGMYj07%2Fusz6VkQtef18L2%2B0EmtpWYaHcBCd2BRK32UgWghscnWPkDXG2QCt%2FiifKF2SOKTSXxYqFN6PmUgBXAqmkaXK4Eq4LgL85H8mpXorM3dMU4nAmVUj6WkEoGBNWBW7g%2BnU%2BHtbQbK3BisRvUHabfzeHZSQtitqM5VzrCID8SR7NlmFCL2w39w1u6U08BDkhFI6EBxrHqi6X1Wah6zz561jEiZTbrw4Fzlgcc0KpBfJ4w2HZT3tpVGWqCXtOJLW7gKJFoERDWDYBE9MCrsajDC31HH5Phf0Kb%2F2Qy5ISbfAeEBMw4yvvjeAdbxCk3lTP7yd05VAtQGa6qIjbnchK2DRhbm2Fz7pHoqbOmcAJX3mQVEQOdLUmWcrQ%3D%3D%20agentid%3DOraFusionApp_11AG%20ver%3D1%20crmethod%3D2%26cksum%3D1b47fe7bc793dfb61781450c52bd6e238d44e697&ECID-Context=1.005dBmlYgvR8Xrg_lDc9yZ0003ZW0001Pq%3BkXjE",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",10,3928,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",11,167,Passed,"Data Used:Sujit.swain",ft.action,
"PressTab textBox(""@id='userid'"")",12,223,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",13,49,Passed,"Data Used:Welcome123",ft.action,
"PressEnter textBox(""@id='password'"")",,105,Passed,"",ft.action,
"DoubleClick link(""@text='You have a new home page!'"")",,622,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5262482453691833&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=157he9jrup_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMF...",18,2034,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",4,115,Passed,"",ft.action,
"Think: 1.018 (sec).",,1043,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,142,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5262482453691833&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=157he9jrup_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMF...",,771,Passed,"",web.pageComplete,
