179188,1,HCM_ManageGradeRates_UpdateGradeRates_0052,8/05/2020 15:56:18 PM,0,Failed,8/05/2020 15:53:18 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,9620,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,7933,Passed,"",basic.step,
"Iteration Total (sec)",,160870,Failed,"",basic.iteration,
"Info",,4,Passed,"Comments: Legislative Input For Search is : SA Legislative Data Group",basic.comment,
"Info",,0,Passed,"Comments: Effective Start Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: Grade Name is : Leg8",basic.comment,
"Info",,0,Passed,"Comments: Grade code is : Leg8",basic.comment,
"Info",,0,Passed,"Comments: Grade MIN Value is : 10",basic.comment,
"Info",,0,Passed,"Comments: Grade MAX Value is : 20",basic.comment,
"Info",,0,Passed,"Comments: Grade Value is : 11",basic.comment,
"Info",,0,Passed,"Comments: Action_Reason_Valueis : Data Correction",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",8,169,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",10,4021,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",11,353,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",12,491,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",13,50,Passed,"",ft.action,
"PressEnter textBox(""@id='password'"")",,87,Passed,"",ft.action,
"Think: 3.019 (sec).",,3055,Passed,"",basic.comment,
"Click link(""@text='You have a new home page!'"")",,220,Passed,"",ft.action,
"DoubleClick link(""@text='You have a new home page!'"")",,87,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5329335944461920&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=4o72tiyfi_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",18,2834,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",4,1112,Passed,"",ft.action,
"Think: 1.018 (sec).",,1047,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,128,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5329335944461920&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=4o72tiyfi_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,796,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.018 (sec).",,1042,Passed,"",basic.comment,
"focus",,15410,Passed,"",ft.action,
"Think: 0.026 (sec).",,63,Passed,"",basic.comment,
"focus",10,1792,Passed,"",ft.action,
"Think: 1.639 (sec).",,1667,Passed,"",basic.comment,
"focus",11,1261,Passed,"",ft.action,
"Think: 1.731 (sec).",,1760,Passed,"",basic.comment,
