113119,1,HCM_ManageGradeRates_UpdateGradeRates_0052,8/09/2020 00:43:08 AM,0,Passed,8/09/2020 00:41:14 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3431,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2694,Passed,"",basic.step,
"Iteration Total (sec)",,100680,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Legislative Input For Search is : SA Legislative Data Group",basic.comment,
"Info",,1,Passed,"Comments: Effective Start Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: Grade Name is : Leg8",basic.comment,
"Info",,0,Passed,"Comments: Grade code is : SujitGrade3",basic.comment,
"Info",,1,Passed,"Comments: Grade MIN Value is : 10",basic.comment,
"Info",,1,Passed,"Comments: Grade MAX Value is : 20",basic.comment,
"Info",,0,Passed,"Comments: Grade Value is : 11",basic.comment,
"Info",,1,Passed,"Comments: Action_Reason_Valueis : Data Correction",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbMIZr...",8,118,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUwPZv10x5U%2B3mIubEg4moKZjBGxOwfdPv2LxXjj91AZXE2IKvjWlw4PZN7hFmdTG%2BIK3mLxNDVQcHOUeIHbxIV%2FGW62UEUF7w%2BcOks6YUPO%2Banxcs7awvdnZSbGln%2BV0cB37%2BKn6OoFs846LQbM...",10,4275,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",11,213,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",12,213,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",13,69,Passed,"",ft.action,
"PressEnter textBox(""@id='password'"")",,41,Passed,"",ft.action,
"Click link(""@text='You have a new home page!'"")",,227,Passed,"",ft.action,
"DoubleClick link(""@text='You have a new home page!'"")",,189,Passed,"",ft.action,
"Think: 5.019 (sec).",,5059,Passed,"",basic.comment,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5620189751691883&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=or4rw8hlt_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",18,923,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",4,164,Passed,"",ft.action,
"Think: 1.018 (sec).",,1044,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,180,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5620189751691883&_afrWindowMode=0&_afrWindowId=null&_adf.ctrl-state=or4rw8hlt_1&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH=878&_afrMFDW=1920&_afrMFDH=1080&_afrMFC...",,868,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 1.018 (sec).",,1046,Passed,"",basic.comment,
"focus",,9407,Passed,"",ft.action,
"Think: 0.026 (sec).",,52,Passed,"",basic.comment,
"focus",10,1435,Passed,"",ft.action,
"Think: 1.639 (sec).",,1662,Passed,"",basic.comment,
"focus",11,992,Passed,"",ft.action,
"Think: 1.731 (sec).",,1755,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:3:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",12,2994,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:3:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",12,2272,Passed,"",ft.action,
"Think: 1.341 (sec).",,1375,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP4:q1:value00::content'"")",,130,Passed,"",ft.action,
