82662,1,HCM_ManageGrades_Edit_CorrectGrades_0049,8/02/2020 21:06:14 PM,0,Passed,8/02/2020 21:04:51 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2918,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.959.18362.0",,2419,Passed,"",basic.step,
"Iteration Total (sec)",,79201,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: URL is : https://ejop-test.login.em2.oraclecloud.com",basic.comment,
"Info",,0,Passed,"Comments: Effective_Start_Date is : 7/2/20",basic.comment,
"Info",,0,Passed,"Comments: GradeName is : SujitGrade3",basic.comment,
"Info",,0,Passed,"Comments: GradeCode is : SujitGrade3",basic.comment,
"Info",,0,Passed,"Comments: Modified Grade Name is : Modified_SujitGrade3",basic.comment,
"Info",,0,Passed,"Comments: 
",basic.comment,
"Navigate https://ejop-test.login.em2.oraclecloud.com",,85,Passed,"",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DI7de95%2BiXI7gZ3WB%2FLdfh2zRTZRcKrIRrRx1%2FZbypQrFfV4gsPT9KzsDhYKwWAAxG1Hbem%2Bh7YeP10A0RXNwu4d7qFYQXnlntuvuNwILUJb8TpXTXevxWGyLEMTM76%2BSZrJ5DDNN4k68f%2Bj0MqYxK...",,6121,Passed,"",web.pageComplete,
"SetText textBox(""@id='userid'"") Sujit.swain",,164,Passed,"",ft.action,
"PressTab textBox(""@id='userid'"")",,124,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,37,Passed,"",ft.action,
"Click button(""@id='btnActive'"")",,106,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=m9ofuzoz5_5&_afrLoop=5088802311860114&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,8115,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='You have a new home page!'"")",,91,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5088809652854773&_adf.ctrl-state=m9ofuzoz5_77",,3013,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='My Client Groups'"")",,488,Passed,"",ft.action,
"Think: 0.998 (sec).",,1024,Passed,"",basic.comment,
"Click link(""@text='Workforce Structures'"")",,118,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=5088809652854773&_adf.ctrl-state=m9ofuzoz5_77#",,708,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
