25405,1,HCM_ManageJobFamilies_Create_JobFamilies_0033,7/08/2020 13:36:04 PM,0,Failed,7/08/2020 13:35:39 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2854,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2380,Passed,"",basic.step,
"Iteration Total (sec)",,22116,Failed,"Sheet: DataSheet does not exist.",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,21136,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,78,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DkjJSxn%2F5v829Oxrsq1SXiBNwiCm%2FaFQ3mURZNmeMrBn3FqIcGBhKwGKiGsZdkGYylo7CJQ1hYiEvD7euLNTfNYbfgladGswAZkmu42XqaRGQw0QM384629OZKx7OhUNq5mjsY7uasTRXEtdDPgoJ%2FunQW8%...",,10311,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,6,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,157,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,37,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,117,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=1d553zopma_5&_afrLoop=2901853097324011&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,6218,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,85,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2901858265495980&_adf.ctrl-state=1d553zopma_77",,3158,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,35,Passed,"",basic.finish,
