122185,1,HCM_ManageJobFamilies_Create_JobFamilies_0033,7/08/2020 13:39:35 PM,0,Passed,7/08/2020 13:37:32 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3158,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2610,Passed,"",basic.step,
"Iteration Total (sec)",,118536,Passed,"",basic.iteration,
"Call Function: HCM_LogIn_LogOut.run",,17220,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,6,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,70,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DUiwyElUJfaRDxSACPiQQT4lutJV7IILpLkbd7Ia35gKo%2B7aiC1AcLtdY7rt1o0MBp8hV9EU44xPz6ZTG0wHLHdeDuRSFugY1Fa6dP%2BOTWafjpWzjNYybJcUIC0Al08u8BYCCGe%2BfZXhgb9PgTdb4EL2YK6%...",,6614,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,159,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,39,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,105,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=pczcweo0n_5&_afrLoop=2901962801872289&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,5851,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,92,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2901968095954378&_adf.ctrl-state=pczcweo0n_77",,3355,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Info",,1,Passed,"Comments: Job_family_Name s : Job_Famly_2",basic.comment,
"Info",,0,Passed,"Comments: Job_family_Code is : JOB_FAMLY_2",basic.comment,
"Click link(""@id='groupNode_workforce_management_2'"")",,179,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,247,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2901968095954378&_adf.ctrl-state=pczcweo0n_77#",,752,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,3734,Passed,"",ft.action,
"focus",,1110,Passed,"",ft.action,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:1:ll01Pse:ll01Cl'"")",,237,Passed,"",ft.action,
"Think: 5.733 (sec).",,5755,Passed,"",basic.comment,
"Click image(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:jfSearchPnl:jfSrchResApplTbl:_ATp:createBtn::icon'"")",,122,Passed,"",ft.action,
"Think: 5.012 (sec).",,5037,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:inputText1::content'"")",,101,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:inputText1::content'"") Job_Famly_2",,56,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:inputText1::content'"")",,106,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:it1::content'"") JOB_FAMLY_2",,52,Passed,"",ft.action,
"Click element(""@text='Submit'"")",,313,Passed,"",ft.action,
"Think: 2.292 (sec).",,2309,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:tt1:okWarningDialog'"")",,98,Passed,"",ft.action,
"Think: 0.334 (sec).",,366,Passed,"",basic.comment,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:AP3:tt1:okConfirmationDialog'"")",,1150,Passed,"",ft.action,
"Think: 2.881 (sec).",,2907,Passed,"",basic.comment,
