76328,1,HCM_ManageJobFamilies_Update_JobFamilies_0034,7/08/2020 18:36:56 PM,0,Passed,7/08/2020 18:35:39 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3284,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2713,Passed,"",basic.step,
"Iteration Total (sec)",,72431,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Job_family_Name is : Job_Famly_3",basic.comment,
"Info",,0,Passed,"Comments: Job_family_Code is : JOB_FAMLY_3",basic.comment,
"Info",,1,Passed,"Comments: UpdatedText is : FreeText",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,19029,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,74,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DiucUDiXhhPLQpQ%2FP35Eq1KirRkcw6TswnvLmPWL9sXPNUOJIcurLi3ZRrYGKTXRPzOaeXCbNo%2FsfZ8RAGzCoBC0QrFeCEjI2PC1LVX1qSi52dDZkAH8AIWzgvlKpPd0jZAOoVPQRUed01tONbomkthpkAmWbY...",,6909,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,170,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,40,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,117,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=4vze5qs3e_5&_afrLoop=2919851241891527&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,6841,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,281,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2919857943993064&_adf.ctrl-state=4vze5qs3e_77",,3593,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,299,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,277,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=2919857943993064&_adf.ctrl-state=4vze5qs3e_77#",,736,Passed,"",web.pageComplete,
