55045,1,HCM_ManageJobs_CreateDivision_AnExistingOrganization_0040,7/17/2020 19:11:55 PM,0,Failed,7/17/2020 19:10:59 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3734,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2863,Passed,"",basic.step,
"Iteration Total (sec)",,50877,Failed,"Variable ""obj.HCM_ManageJobs_CreateNewDivision_0039.Date"" not found for string: {{obj.HCM_ManageJobs_CreateNewDivision_0039.Date}}",basic.iteration,
"Info",,2,Passed,"Comments: Effective_Start_Date is : 1/1/51",basic.comment,
"Info",,0,Passed,"Comments: Division_Name is : Sujit_Division_3",basic.comment,
"Info",,0,Passed,"Comments: CreateJob_Code is : operation",basic.comment,
"Info",,1,Passed,"Comments: Division_Location is : Riyadh",basic.comment,
"Info",,1,Passed,"Comments: Division_ReportName is : Sujit_Report_1",basic.comment,
"Info",,0,Passed,"Comments: Division_ManagerName is : abdul khader",basic.comment,
"Info",,1,Passed,"Comments: OrganizationType is : Department",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,25240,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,68,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DCxuQzCAxVqzzIxoWPwdJwSyyyvcWvTm9FfpAAdTequWPvIa5%2BggRHIV78QeDt5y%2FkojKWhRRAU%2BIfhb5wrDCrup%2BMR2qaolwMCK6eEYx9QEaquX5P%2FRGO%2Fe9J1huVbn7FsBeMzTa5Ey%2Fl4G0op9...",,9429,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,11,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,213,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,41,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,141,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=6knghetz7_5&_afrLoop=3699591500399182&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,10056,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,106,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3699600730363065&_adf.ctrl-state=6knghetz7_77",,4195,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,222,Passed,"",ft.action,
"Think: 0.825 (sec).",,862,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,138,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3699600730363065&_adf.ctrl-state=6knghetz7_77#",,861,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Organizations'"")",,5923,Passed,"",ft.action,
"Think: 2.527 (sec).",,2554,Passed,"",basic.comment,
"Think: 2.256 (sec).",,2285,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:2:ll01Pse:ll01Cl'"")",,205,Passed,"",ft.action,
"Think: 3.949 (sec).",,3987,Passed,"",basic.comment,
"Click element(""@text='Create'"")",,345,Passed,"",ft.action,
"Think: 1.409 (sec).",,1443,Passed,"",basic.comment,
"Click element(""@innerText='Select an existing organization to define as a Division'"")",,1199,Passed,"",ft.action,
"Think: 2.751 (sec).",,2778,Passed,"",basic.comment,
"Finish Total (sec)",,42,Passed,"",basic.finish,
