5143,1,HCM_ManageJobs_CreateJobs_AddExistingProfile_0038,7/15/2020 16:14:02 PM,0,Failed,7/15/2020 16:13:56 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1647,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,882,Passed,"",basic.step,
"Iteration Total (sec)",,2914,Failed,"",basic.iteration,
"Info",,3,Passed,"Comments: Effective_Start_Date is : 1/1/51",basic.comment,
"Info",,1,Passed,"Comments: CreateJob_Name is : Sujit_Job_3",basic.comment,
"Info",,2,Passed,"Comments: CreateJob_Code is : Sujit_Job_12",basic.comment,
"Info",,0,Passed,"Comments: profile_Code is : Sujit_Job_12",basic.comment,
"Info",,1,Passed,"Comments: profile_Name is : Sujit_Job_12",basic.comment,
"Info",,1,Passed,"Comments: CreateJob_Code is : Sujit_Job_12",basic.comment,
"Info",,0,Passed,"Comments: Add_Existing_Profile is : Sujit_Job_11",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,354,Failed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Failed to playback",,12,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,96,Passed,"",basic.finish,
