45484,1,HCM_ManageJobs_CreateJobs_AddExistingProfile_0038,7/15/2020 16:14:58 PM,0,Passed,7/15/2020 16:14:12 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2369,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,1935,Passed,"",basic.step,
"Iteration Total (sec)",,42681,Passed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective_Start_Date is : 1/1/51",basic.comment,
"Info",,0,Passed,"Comments: CreateJob_Name is : Sujit_Job_3",basic.comment,
"Info",,1,Passed,"Comments: CreateJob_Code is : Sujit_Job_12",basic.comment,
"Info",,1,Passed,"Comments: profile_Code is : Sujit_Job_12",basic.comment,
"Info",,1,Passed,"Comments: profile_Name is : Sujit_Job_12",basic.comment,
"Info",,0,Passed,"Comments: CreateJob_Code is : Sujit_Job_12",basic.comment,
"Info",,0,Passed,"Comments: Add_Existing_Profile is : Sujit_Job_11",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,18288,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,64,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3Dl%2FrVTor1nMsadKtb9RUiSrOp0RfNHs3VhIz5bhuMNded9YsWsOQI8U9yGTEB4AA9ktQEnum0m6c8QSEBu0ZYW7piLsgF%2F2c99Q%2BSahhqHSiSG8lgbyuiKMGgPPPJTFKNxXXB9rGfROoiUztILondZbgys55...",,7390,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,169,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,34,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,112,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=176tvmkb0x_5&_afrLoop=3516178153195837&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,6585,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,81,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3516184059531690&_adf.ctrl-state=176tvmkb0x_77",,3154,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,144,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,199,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3516184059531690&_adf.ctrl-state=176tvmkb0x_77#",,675,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,5368,Passed,"",ft.action,
"focus",,1250,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,122,Passed,"",ft.action,
"Think: 0.145 (sec).",,175,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,172,Passed,"",ft.action,
"Think: 1.559 (sec).",,1588,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:q1:value10::content'"") Sujit_Job_12",,64,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:jfSearchPnl:q1::search'"")",,94,Passed,"",ft.action,
"Think: 3.049 (sec).",,3074,Passed,"",basic.comment,
"DoubleClick element(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:AT1:_ATp:t1:0:ot65'"")",,303,Passed,"",ft.action,
"Think: 3.049 (sec).",,3079,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=3516190225345664&_afrWindowMode=0&_afrWindowId=k0imaxmr6&...",,618,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Evaluation Criteria'"")",,133,Passed,"",ft.action,
"Think: 2.649 (sec).",,2674,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=3516190225345664&_afrWindowMode=0&_afrWindowId=k0imaxmr6&...",,463,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@text='Profiles'"")",,81,Passed,"",ft.action,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=3516190225345664&_afrWindowMode=0&_afrWindowId=k0imaxmr6&...",,466,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Done'"")",,299,Passed,"",ft.action,
"closeBrowser",,8,Passed,"",ft.action,
"Finish Total (sec)",,64,Passed,"",basic.finish,
