64728,1,HCM_ManageJobs_CreateJobs_WO_Grades_0036,7/14/2020 00:50:01 AM,0,Failed,7/14/2020 00:48:56 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3663,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2765,Passed,"",basic.step,
"Iteration Total (sec)",,60213,Failed,"",basic.iteration,
"Info",,3,Passed,"Comments: Effective_Start_Date is : 1/1/51",basic.comment,
"Info",,0,Passed,"Comments: CreateJob_Name is : Sujit_Job_3",basic.comment,
"Info",,0,Passed,"Comments: CreateJob_Code is : Sujit_Job_3",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,16761,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,2,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,93,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DB2nw94VEUNfgAw56u%2FPdH4%2FzLNkNczGhn3YyKUzGt7bgHUHsCWlUyKPbFUuLFNQ%2B7wUm2PH0gESpc6Yx5wPW71hI0SoL4fNO0fJEitJXIppQfL5fsDhAlapTTpb2Ljc%2Fe4Mkx1YQ1D30w%2FtO3%2Fbdr...",,6429,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,209,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,47,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,220,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=19utop6vyp_5&_afrLoop=3374262416946590&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMF...",,5341,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,102,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3374267358498592&_adf.ctrl-state=19utop6vyp_77",,3230,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,257,Passed,"",ft.action,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,227,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3374267358498592&_adf.ctrl-state=19utop6vyp_77#",,791,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"focus",,2432,Passed,"",ft.action,
"focus",,1476,Passed,"",ft.action,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,135,Passed,"",ft.action,
"Think: 0.145 (sec).",,177,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:1:ll02Pce:ll01Lv:0:ll01Pse:ll01Cl'"")",,203,Passed,"",ft.action,
"Think: 1.559 (sec).",,1592,Passed,"",basic.comment,
"Click element(""@text='Create'"")",,343,Passed,"",ft.action,
"Think: 1.836 (sec).",,1862,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:basicDetailsPnl:effectiveStartDate::content'"")",,118,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:basicDetailsPnl:effectiveStartDate::content'"") 1/1/51",,55,Passed,"",ft.action,
"Click element(""@text='Common Set'"")",,326,Passed,"",ft.action,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:basicDetailsPnl:name::content'"")",,121,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:basicDetailsPnl:name::content'"") Sujit_Job_3",,55,Passed,"",ft.action,
"PressTab textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:basicDetailsPnl:name::content'"")",,111,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:basicDetailsPnl:jobCode::content'"") Sujit_Job_3",,74,Passed,"",ft.action,
"Click element(""@text='Next'"")",,389,Passed,"",ft.action,
"Think: 0.074 (sec).",,98,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:3:jobDetailsPnl:activeStatus::drop'"")",,2996,Passed,"",ft.action,
"Click element(""@text='Active'"")",,139,Passed,"",ft.action,
"Click element(""@text='Next'"")",,461,Passed,"",ft.action,
"Think: 1.529 (sec).",,1558,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,384,Passed,"",ft.action,
"Think: 1.529 (sec).",,1561,Passed,"",basic.comment,
"Click element(""@text='Next'"")",,382,Passed,"",ft.action,
"Think: 1.529 (sec).",,1570,Passed,"",basic.comment,
"Click element(""@text='Submit'"")",,400,Passed,"",ft.action,
"Think: 4.124 (sec).",,4152,Passed,"",basic.comment,
"Failed to playback",,14844,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,78,Passed,"",basic.finish,
