70756,1,HCM_ManageJobs_CreateNewDivision_0039,7/16/2020 23:04:36 PM,0,Failed,7/16/2020 23:03:25 PM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3293,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2752,Passed,"",basic.step,
"Iteration Total (sec)",,66936,Failed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective_Start_Date is : 1/1/51",basic.comment,
"Info",,0,Passed,"Comments: Division_Name is : Sujit_Division_3",basic.comment,
"Info",,0,Passed,"Comments: CreateJob_Code is : operation",basic.comment,
"Info",,1,Passed,"Comments: Division_Location is : Riyadh",basic.comment,
"Info",,0,Passed,"Comments: Division_ReportName is : Sujit_Report_1",basic.comment,
"Info",,0,Passed,"Comments: Division_ManagerName is : abdul khader",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,19346,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,1,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,107,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3DJ0%2FlRbHjxBOmhrWRsYT1DgrxdcbNc3qGI2FPn0BEhirLS8Bw7a%2ByzkJEZ4Va%2F2eqpZOie0gqYQ4I47DhsIv%2F%2FLXZ4RzSpr47pkcxmI0XfLr52w35kBO6IVHbLmD1ezNWiWqijjpM6TIYKRKWECOqjwD...",,7653,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,21,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,177,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,39,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,116,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=qfzv189mq_5&_afrLoop=3627149883849881&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,6715,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,92,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3627155963430747&_adf.ctrl-state=qfzv189mq_77",,3665,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,539,Passed,"",ft.action,
"Think: 0.825 (sec).",,857,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,120,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3627155963430747&_adf.ctrl-state=qfzv189mq_77#",,778,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Organizations'"")",,3682,Passed,"",ft.action,
"Think: 2.527 (sec).",,2550,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:2:ll01Pse:ll01Cl'"")",,113,Passed,"",ft.action,
"Think: 2.256 (sec).",,2281,Passed,"",basic.comment,
"Failed to playback",,34401,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,77,Passed,"",basic.finish,
