128436,1,HCM_ManageJobs_EditDivision_UpdateOption_0041,7/18/2020 09:31:10 AM,0,Failed,7/18/2020 09:29:02 AM,basic.step,Global HR(Admn),,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,3619,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.900.18362.0",,2879,Passed,"",basic.step,
"Iteration Total (sec)",,123979,Failed,"",basic.iteration,
"Info",,2,Passed,"Comments: Effective_Start_Date is : 1/1/51",basic.comment,
"Info",,0,Passed,"Comments: Division_Name is : Sujit_Division_3",basic.comment,
"Info",,0,Passed,"Comments: Division_ReportName is : Sujit_Report_1",basic.comment,
"Call Function: HCM_LogIn_LogOut.run",,18479,Passed,"",basic.stepGroup,
"GetNextDatabankRecord: HCM_Search_ManagePosition_ByName_EmployeeCode_003",,3,Passed,"Data Used:[https://ejop-test.login.em2.oraclecloud.com/, Sujit.swain, Welcome123, 101447]",basic.resource,
"Navigate https://ejop-test.login.em2.oraclecloud.com/",,130,Passed,"Data Used:https://ejop-test.login.em2.oraclecloud.com/",ft.action,
"WaitForPage https://ejop-test.login.em2.oraclecloud.com/oam/server/obrareq.cgi?encquery%3D5uyKYCbY8Sslo6hKmG1Dp7brKqU%2F%2BtZu3Tks4K3mxGf0ObWn0YH3%2BpByT3EJu7bZ65Dm8Pd2dHUbAWfXl0%2BQn1dzcuyTPEHr%2F4kVT3hgEIx6MwYmh5UCk32FgKMKI3AvOvlzQK1siVydfxrxS6mOc4O...",,7078,Passed,"",web.pageComplete,
"Maximize window(""@index='0'"")",,7,Passed,"",ft.action,
"SetText textBox(""@id='userid'"") Sujit.swain",,259,Passed,"Data Used:Sujit.swain",ft.action,
"SetPassword textBox(""@id='password'"") ******",,60,Passed,"Data Used:Welcome123",ft.action,
"Click button(""@text='Sign In '"")",,154,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/AtkHomePageWelcome?_adf.no-new-window-redirect=true&_adf.ctrl-state=24da5yifu_5&_afrLoop=3751069583053079&_afrWindowMode=2&_afrWindowId=null&_afrFS=16&_afrMT=screen&_afrMFW=1920&_afrMFH...",,6129,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='pt1:commandLink1'"")",,103,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3751075191695316&_adf.ctrl-state=24da5yifu_77",,3306,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click link(""@id='groupNode_workforce_management_2'"")",,240,Passed,"",ft.action,
"Think: 0.825 (sec).",,865,Passed,"",basic.comment,
"Click link(""@id='itemNode_workforce_management_workforce_structures_4'"")",,131,Passed,"",ft.action,
"WaitForPage https://ejop-test.fa.em2.oraclecloud.com/fscmUI/faces/FuseWelcome?_afrLoop=3751075191695316&_adf.ctrl-state=24da5yifu_77#",,868,Passed,"",web.pageComplete,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/fscmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Click element(""@text='Organizations'"")",,4715,Passed,"",ft.action,
"Think: 2.527 (sec).",,2553,Passed,"",basic.comment,
"Think: 2.256 (sec).",,2290,Passed,"",basic.comment,
"DoubleClick link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:_FOTsr1:0:ll01Upl:UPsp1:ll01Pce:ll01Itr:4:ll02Pce:ll01Lv:2:ll01Pse:ll01Cl'"")",,180,Passed,"",ft.action,
"Think: 3.949 (sec).",,3971,Passed,"",basic.comment,
"Click textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00::content'"")",,145,Passed,"",ft.action,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1:value00::content'"") Sujit_Division_3",,75,Passed,"",ft.action,
"Click button(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:qryId1::search'"")",,133,Passed,"",ft.action,
"Think: 6.83 (sec).",,6863,Passed,"",basic.comment,
"Click link(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:1:AP1:AT2:_ATp:t1:0:commandLink2'"")",,136,Passed,"",ft.action,
"Think: 6.171 (sec).",,6198,Passed,"",basic.comment,
"CapturePage https://ejop-test.fa.em2.oraclecloud.com/hcmUI/faces/FndOverview?fnd=%3B%3B%3B%3Bfalse%3B256%3B%3B%3B&fndGlobalItemNodeId=itemNode_workforce_management_workforce_structures&_afrLoop=3751066082379750&_afrWindowMode=0&_afrWindowId=s6xe64b51&...",,576,Passed,"",web.capPage,
"Frame (URL=https://ejop-test.fa.em2.oraclecloud.com/hcmUI/afr/blank.html)",,0,Passed,"",web.frame,
"Think: 3.244 (sec).",,3272,Passed,"",basic.comment,
"Click link(""@text='Edit'"")",,117,Passed,"",ft.action,
"Click element(""@text='Update'"")",,203,Passed,"",ft.action,
"Think: 1.561 (sec).",,1582,Passed,"",basic.comment,
"SetText textBox(""@id='_FOpt1:_FOr1:0:_FOSritemNode_workforce_management_workforce_structures:0:MAnt2:2:ap1:UpdateActionDate::content'"") 7/18/20",,90,Passed,"",ft.action,
